replication,threshold_eci_pre,rss_selected
435,-0.73925,457.69349369697284
436,-0.57963333,453.17211659969314
437,-0.907,454.97741470284944
438,-0.73925,457.1023100667251
439,-0.73925,452.74548345663425
440,0.86,453.5609879560002
441,-0.907,457.728458657727
442,-0.907,458.0914965350848
443,-0.57963333,455.5329747501751
444,-0.907,456.1399249908532
445,-0.38943333,456.17127310648493
446,-0.57963333,456.9437173644456
447,-0.907,457.9022756357635
448,-0.907,454.9762215562954
449,-0.73925,455.29848219751614
450,-0.907,454.70536122505774
451,-0.907,453.60582171253344
452,-0.907,458.01116130137024
453,-0.57963333,455.41195501490733
454,-0.73925,456.5076439665693
455,-0.907,457.127435603619
456,-0.907,457.5327233633256
457,-0.907,456.32798282527233
458,-0.57963333,455.7284834182292
459,-0.907,456.8677313739602
460,-0.73925,455.86867188534796
461,-0.907,457.10060663062296
462,-0.73925,457.780380049957
463,-0.907,455.69689426760885
464,-0.57963333,457.55083795226926
465,-0.73925,457.3007288414499
466,-0.907,457.3962617728844
467,-0.907,456.34829759237556
468,-0.57963333,454.7097370156425
469,-0.907,457.1796827521007
470,-0.907,454.5394485093665
471,-0.907,457.4604515020237
472,-0.907,457.76581881330895
473,-0.907,457.06943038016203
474,-0.73925,457.95597255373366
475,-0.907,456.59967594696144
476,-0.907,457.82973914158913
477,-0.73925,455.3150121091464
478,-0.907,456.80984297421725
479,-0.03963333,453.7251229832237
480,-0.38943333,456.15898716449846
481,-0.57963333,456.4583488157756
482,-0.907,456.9790875707052
483,-0.73925,457.14560274225425
484,-0.907,456.2894345443729
485,-0.73925,455.19003864363333
486,-0.21506667,448.5605824150284
487,-0.907,457.99117971005984
488,-0.57963333,457.1307011555252
489,-0.907,457.436561446018
490,-0.907,457.55235211439793
491,-0.57963333,457.4358631215811
492,-0.907,454.77369203979816
493,-0.907,453.4014289257738
494,-0.73925,456.19386719731136
495,-0.907,457.98936743374736
496,-0.907,455.87861858745094
497,-0.03963333,455.1706484886086
498,-0.907,457.712808122239
499,-0.907,455.32843767558825
500,-0.907,452.00460983759353
501,-0.907,457.56919326839363
502,-0.38943333,455.1426798185829
503,-0.907,456.6239622085553
504,-0.907,454.87968422432346
505,-0.57963333,455.8668673699319
506,-0.57963333,454.49428359240744
507,-0.907,456.63557494599934
508,-0.907,455.8544950242563
509,-0.907,458.07608288657497
510,-0.57963333,456.6420198037145
511,-0.73925,457.0325712756896
512,-0.907,457.0964517537163
513,-0.907,457.088890374437
514,-0.907,458.0879010916608
515,-0.907,457.89957185882963
516,-0.907,454.1908800036692
517,-0.907,455.34665180048705
518,-0.907,458.5806760912665
519,-0.57963333,457.07976221973473
520,-0.73925,456.42988251608114
521,-0.907,457.2922973134569
522,-0.73925,456.084297208816
523,-0.907,455.86770034628694
524,-0.907,456.7908402709413
525,-0.907,456.97495001717084
526,-0.38943333,456.5593657622759
527,-0.907,456.8720429795753
528,-0.907,458.3981917057409
