test_id,hypothesis,outcome,expected_direction,alternative,multiplicity_family,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,n_obs,n_countries,n_years,treatment,pvalue_for_fdr,test_type,equivalence_bound_abs_sd,tost_p_lower,tost_p_upper,tost_pvalue,equivalent_within_bound_0_05,mde_80pct_power_abs_sd,gpr_sample,wald_chi2,df,n_country_clusters,n_entity_outcome_panels,n_year_outcome_fixed_effects,gpr_column,spec,exposure,threshold_eci_pre,test,threshold_type,group_dimension,target_group,reference_group,contrast,available_groups,control_strategy,qvalue_bh_full_reported_family,fdr_significant_0_05
E3_profile_matched_knn_k10_HIC_minus_LIC,E3 formal GPR moderation difference,Partner diversification excluding US and China,two-sided exploratory,two-sided,full_reported_family,0.009792236161165868,0.011380216206345255,0.8604613465696742,0.39053029042570997,-0.012643750747016718,0.03222822306934846,0.434,999.0,999.0,2288,208.0,11.0,,0.434,,,,,,,,profile_matched_knn_k10,,,,,,gpr_profile_matched,,,,,,,,,HIC - LIC,,,0.9877241379310344,0
E3_profile_matched_knn_k10_HIC_minus_LMC,E3 formal GPR moderation difference,Partner diversification excluding US and China,two-sided exploratory,two-sided,full_reported_family,0.004626054923579662,0.008236478531005158,0.5616544626645327,0.5749590539049022,-0.011612083363118576,0.0208641932102779,0.557,999.0,999.0,2288,208.0,11.0,,0.557,,,,,,,,profile_matched_knn_k10,,,,,,gpr_profile_matched,,,,,,,,,HIC - LMC,,,0.993,0
E3_profile_matched_knn_k10_HIC_minus_UMC,E3 formal GPR moderation difference,Partner diversification excluding US and China,two-sided exploratory,two-sided,full_reported_family,0.0009885744310684508,0.011974553712333082,0.08255626512830098,0.9342841524686182,-0.02261914315969553,0.02459629202183243,0.931,999.0,999.0,2288,208.0,11.0,,0.931,,,,,,,,profile_matched_knn_k10,,,,,,gpr_profile_matched,,,,,,,,,HIC - UMC,,,0.993,0
E3_profile_matched_knn_k10_omnibus,E3 formal equality across available income groups,Partner diversification excluding US and China,,,full_reported_family,,,,0.8281353016741806,,,,,,2288,208.0,,,0.8281353016741806,cluster_wald_omnibus,,,,,,,profile_matched_knn_k10,0.8887769854358825,3.0,,,,,,,,,,,,,,"HIC,LIC,LMC,UMC",,0.993,0
H1_frozen_controls_x_year,H1 frozen-control sensitivity,Adverse forward-GVC deviation stability,positive,greater,full_reported_family,0.365274203882862,0.13919150004839223,2.6242565368996553,0.005284495520999787,0.08786594433811873,0.6426824634276054,0.01,999.0,999.0,814,74.0,11.0,s_tariff_weighted_us_diversion,0.01,,,,,,,,,,,,,,,,,,,,,,,,,frozen_pre_shock_controls_by_year,0.33,0
H2_frozen_controls_x_year,H2 frozen-control sensitivity,Log export recovery,positive,greater,full_reported_family,0.06406046298139959,0.031195497866473305,2.053516288010495,0.020759454390198953,0.0024901758834123683,0.1256307500793868,0.136,999.0,999.0,1925,175.0,11.0,s_tariff_weighted_us_diversion,0.136,,,,,,,,,,,,,,,,,,,,,,,,,frozen_pre_shock_controls_by_year,0.6411428571428572,0
H3_frozen_controls_x_year,H3 frozen-control sensitivity,Partner diversification excluding US and China,positive,greater,full_reported_family,-0.011945688670770498,0.008209923591517761,-1.4550304320873844,0.9262687416611746,-0.02814954458440054,0.004258167242859545,0.721,999.0,999.0,1925,175.0,11.0,s_tariff_weighted_us_diversion,0.721,,,,,,,,,,,,,,,,,,,,,,,,,frozen_pre_shock_controls_by_year,0.993,0
mechanism_new_non_uschina_destination_count,Direct market-search and destination-entry mechanism,New non-US/China destination entries,positive,greater,full_reported_family,-0.5507988227181143,0.4573897757174146,-1.204221982999484,0.8851210400163082,-1.4520714311677763,0.35047378573154775,0.883,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
mechanism_new_non_uschina_destination_export_share,Direct market-search and destination-entry mechanism,New non-US/China destination export share,positive,greater,full_reported_family,0.005581273794468517,0.0042217574961529595,1.3220261465880987,0.0937450340509836,-0.002737570641508722,0.013900118230445756,0.222,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,0.86075,0
mechanism_persistent_new_non_uschina_destination_count,Direct market-search and destination-entry mechanism,Persistent new non-US/China destination entries,positive,greater,full_reported_family,-0.5601368399428998,0.45929001234318856,-1.2195711312885178,0.8880534336308885,-1.465153806730473,0.3448801268446736,0.91,999.0,999.0,2279,228.0,10.0,s_tariff_weighted_us_diversion,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
