country_iso3_code,cate_mean_country,dv
KHM,0.4829045320000128,DV2_Export_Recovery
VUT,0.5119197211013938,DV2_Export_Recovery
MOZ,0.5379554366740186,DV2_Export_Recovery
GIN,0.5560691716555708,DV2_Export_Recovery
CYP,-0.20762940009069472,DV3_Partner_Diversification
LTU,-0.19401365232874518,DV3_Partner_Diversification
SWE,-0.19149145735560147,DV3_Partner_Diversification
DNK,-0.19124310463445265,DV3_Partner_Diversification
NLD,-0.19043831131688443,DV3_Partner_Diversification
LVA,-0.18928597570642328,DV3_Partner_Diversification
DEU,-0.18652138413802702,DV3_Partner_Diversification
BEL,-0.1863362979230047,DV3_Partner_Diversification
BGR,-0.18556863105654392,DV3_Partner_Diversification
EST,-0.18310861067016856,DV3_Partner_Diversification
UKR,-0.18310796423171713,DV3_Partner_Diversification
CHE,-0.18280020792458188,DV3_Partner_Diversification
HRV,-0.18170003249530947,DV3_Partner_Diversification
SVN,-0.18118301444580856,DV3_Partner_Diversification
SVK,-0.17972930290969885,DV3_Partner_Diversification
THA,-0.17931781045355843,DV3_Partner_Diversification
SGP,-0.17624042153423414,DV3_Partner_Diversification
ARE,-0.17534317702225644,DV3_Partner_Diversification
MYS,-0.1745344337186305,DV3_Partner_Diversification
ROU,-0.17403973652781585,DV3_Partner_Diversification
IRL,-0.17000163529699694,DV3_Partner_Diversification
AUT,-0.1673976089384706,DV3_Partner_Diversification
HUN,-0.16550399365588034,DV3_Partner_Diversification
PRT,-0.1646777970934236,DV3_Partner_Diversification
HKG,-0.1643853042751227,DV3_Partner_Diversification
BHR,-0.16259055171741382,DV3_Partner_Diversification
PAN,-0.1623699712338525,DV3_Partner_Diversification
POL,-0.16197356855921038,DV3_Partner_Diversification
SMR,-0.16162676133890144,DV3_Partner_Diversification
LUX,-0.16105323163078392,DV3_Partner_Diversification
FIN,-0.16057949168512203,DV3_Partner_Diversification
CZE,-0.16033534542266187,DV3_Partner_Diversification
MLT,-0.15998892223023758,DV3_Partner_Diversification
MNE,-0.14841421407949298,DV3_Partner_Diversification
ABW,-0.14708642272920308,DV3_Partner_Diversification
TUN,-0.14596625058471752,DV3_Partner_Diversification
SYC,-0.1394019370989795,DV3_Partner_Diversification
VNM,-0.13869969584009353,DV3_Partner_Diversification
GEO,-0.134409545300506,DV3_Partner_Diversification
MUS,-0.13279667712906423,DV3_Partner_Diversification
BRN,-0.13276675777029062,DV3_Partner_Diversification
MOZ,-0.13132097335998066,DV3_Partner_Diversification
KHM,-0.1264211651287704,DV3_Partner_Diversification
GNQ,-0.12576583597280674,DV3_Partner_Diversification
JOR,-0.12465211753286454,DV3_Partner_Diversification
GRC,-0.12425306509613154,DV3_Partner_Diversification
KWT,-0.12202360480380296,DV3_Partner_Diversification
LBN,-0.11563637521821804,DV3_Partner_Diversification
KOR,-0.11252577648158521,DV3_Partner_Diversification
MDV,-0.112015933559941,DV3_Partner_Diversification
CRI,-0.10557582265298429,DV3_Partner_Diversification
SRB,-0.10425365079028448,DV3_Partner_Diversification
NAM,-0.10274728452882745,DV3_Partner_Diversification
FRA,-0.10242300236826889,DV3_Partner_Diversification
ASM,-0.10077746685054567,DV3_Partner_Diversification
NRU,-0.09922380763802639,DV3_Partner_Diversification
WSM,-0.09740512104997749,DV3_Partner_Diversification
QAT,-0.09687249492036537,DV3_Partner_Diversification
DOM,-0.09665245174568123,DV3_Partner_Diversification
DJI,-0.09334069627368155,DV3_Partner_Diversification
NOR,-0.0930389081419871,DV3_Partner_Diversification
SAU,-0.09273189867604263,DV3_Partner_Diversification
TON,-0.09247463048207367,DV3_Partner_Diversification
ITA,-0.09215990585420307,DV3_Partner_Diversification
ESP,-0.09148838332282719,DV3_Partner_Diversification
TUR,-0.09087819786996529,DV3_Partner_Diversification
OMN,-0.08853018528283517,DV3_Partner_Diversification
ARM,-0.08792718138027479,DV3_Partner_Diversification
BLR,-0.08784178275998682,DV3_Partner_Diversification
GIN,-0.0871244069176383,DV3_Partner_Diversification
KGZ,-0.08701388536559439,DV3_Partner_Diversification
GAB,-0.08350066304287887,DV3_Partner_Diversification
VEN,-0.08249220970837771,DV3_Partner_Diversification
BIH,-0.08235005841163948,DV3_Partner_Diversification
RUS,-0.08169976894740778,DV3_Partner_Diversification
ISL,-0.07980703763150941,DV3_Partner_Diversification
AZE,-0.0794062757291763,DV3_Partner_Diversification
GBR,-0.07824694385423756,DV3_Partner_Diversification
TGO,-0.07228116383441062,DV3_Partner_Diversification
LBY,-0.07009521895745027,DV3_Partner_Diversification
BHS,-0.06809248572550265,DV3_Partner_Diversification
LAO,-0.06718553855253118,DV3_Partner_Diversification
IND,-0.0654656992362471,DV3_Partner_Diversification
COG,-0.0645377448170124,DV3_Partner_Diversification
MRT,-0.06307276780228539,DV3_Partner_Diversification
MAC,-0.061756438313505115,DV3_Partner_Diversification
BLZ,-0.060364522612995866,DV3_Partner_Diversification
ZAF,-0.05901685839331815,DV3_Partner_Diversification
MWI,-0.056393021706779733,DV3_Partner_Diversification
CHN,-0.055963699726003714,DV3_Partner_Diversification
BOL,-0.05467613161386066,DV3_Partner_Diversification
BWA,-0.04912758306315553,DV3_Partner_Diversification
IDN,-0.048929141099364984,DV3_Partner_Diversification
CIV,-0.048797423570591025,DV3_Partner_Diversification
EGY,-0.04781115459148947,DV3_Partner_Diversification
NIC,-0.046850889697759815,DV3_Partner_Diversification
ZMB,-0.04672402380695029,DV3_Partner_Diversification
ALB,-0.04601881272110553,DV3_Partner_Diversification
MDG,-0.04444182065274473,DV3_Partner_Diversification
KAZ,-0.04350456881018498,DV3_Partner_Diversification
KEN,-0.04280081897595388,DV3_Partner_Diversification
MAR,-0.04232101621585428,DV3_Partner_Diversification
USA,-0.042298665176251124,DV3_Partner_Diversification
PHL,-0.0415988240778843,DV3_Partner_Diversification
TZA,-0.041236134684266124,DV3_Partner_Diversification
DZA,-0.038225630839019406,DV3_Partner_Diversification
ARG,-0.03781749648466035,DV3_Partner_Diversification
LKA,-0.03727634645923276,DV3_Partner_Diversification
GHA,-0.03470701885268286,DV3_Partner_Diversification
SEN,-0.03348433458976473,DV3_Partner_Diversification
FSM,-0.03184373263770124,DV3_Partner_Diversification
SLV,-0.031108047733924636,DV3_Partner_Diversification
LSO,-0.03027742149942536,DV3_Partner_Diversification
CMR,-0.029663954132489234,DV3_Partner_Diversification
PER,-0.02960048556781273,DV3_Partner_Diversification
PYF,-0.02924551740759603,DV3_Partner_Diversification
MKD,-0.02884528241581865,DV3_Partner_Diversification
PRY,-0.028507640832688308,DV3_Partner_Diversification
ISR,-0.027114923014033687,DV3_Partner_Diversification
COL,-0.026587677756112003,DV3_Partner_Diversification
