country_iso3_code,pre_eci,pre_coi,pre_log_gdp_pc,pre_trade_open,pre_wgi,pre_rents,pre_tariff,pre_us_china_intensity,cluster,pc1,pc2,cluster_label,dv1_post_mean,dv1_pre_mean,dv1_change_post_minus_pre,dv2_post_mean,dv2_pre_mean,dv2_change_post_minus_pre,dv3_post_mean,dv3_pre_mean,dv3_change_post_minus_pre
CMR,-0.8905,-1.0698333333333334,7.237020374835161,45.986789723688354,-0.9666086861111101,6.643547047521692,12.463333333333333,0.2462662069861917,0,-2.5216736467806635,0.2553937972532669,C0,1.8295000000000003,0.36360000000000003,1.4659000000000004,1.3519278654419733,1.165535253965686,0.18639261147628727,0.908459046643579,0.9263481076576788,-0.017889061014099816
COD,-1.8533333333333333,-1.193,6.160407567853682,67.5092187714623,-1.5517220222222186,23.81220653947128,10.19,0.3171640369798641,0,-4.078131503202117,-0.11724444537940454,C0,-3.449250000000001,1.111800000000001,-4.561050000000002,2.525989532148457,1.0501119294467482,1.4758776027017086,0.6913736109593311,0.7995065151944979,-0.10813290423516675
COG,-1.2491666666666668,-1.1248333333333334,7.749342012238482,104.80709229022129,-1.0344941222222215,27.475425771859033,14.393333333333333,0.2804519101736819,0,-3.202476512792728,0.46484612448528295,C0,,,,1.259816323199361,1.226941079309707,0.032875243889654016,0.7394663199373827,0.8148771510002,-0.07541083106281732
COK,0.15666666666666668,-0.7121666666666666,,,,,,0.094521430813586,1,0.03780918968669216,-0.7759867659988928,C1,,,,0.8055717076906533,0.9994598515484779,-0.1938881438578246,0.7464603591115695,0.7723601615741723,-0.025899802462602817
COL,0.2695,-0.286,8.714817667502436,37.359266250455185,-0.290428805555555,5.4575557586250225,5.178333333333334,0.4401781817948429,1,-0.4372855071691492,0.9536475139765797,C1,-0.08850000000000002,-1.0444000000000002,0.9559000000000002,1.1651431265518528,1.2744823631936086,-0.10933923664175582,0.8918501817855788,0.8786529059603149,0.013197275825263977
COM,-0.5216666666666666,-0.9165000000000001,7.200825134862051,39.06529799158277,-0.875388019444444,2.178488483495918,7.109999999999999,0.1237119020444165,0,-1.6304521991651337,-0.8196076304687488,C0,,,,0.9153419388118685,0.9044670969218164,0.010874841890052167,0.8607184795560165,0.8803758527187883,-0.01965737316277172
CPV,-0.112,-0.8328333333333333,8.149324085215737,92.92706496310875,0.5238410111111111,14.272315716404073,10.793333333333335,0.0831373599865718,0,-0.7478853304583326,-0.3817399821495187,C0,,,,1.319834638766646,1.097724451203687,0.22211018756295897,0.6562999600359704,0.6720954094466619,-0.015795449410691553
CRI,0.2703333333333333,0.01233333333333333,9.361280295380439,64.05169763275177,0.6730396777777777,1.2454186440363366,1.7675,0.4707582453062759,1,0.9097899352964802,1.145027661074384,C1,0.3882500000000002,-0.14400000000000013,0.5322500000000003,1.294754335903601,1.6110813389638337,-0.31632700306023276,0.8561873732550392,0.8532767471660279,0.002910626089011381
CUB,-0.4791666666666667,-0.9973333333333333,8.92721335946226,35.76160258559265,-0.4910221944444427,1.2322214582717685,7.75,0.223808466560771,0,-1.0088927361132805,0.10106300358894921,C0,,,,0.925322393574318,1.1175470962414709,-0.19222470266715286,0.8482525618068075,0.9097007516525631,-0.06144818984575562
CUW,0.3598333333333333,-0.641,9.875160569224589,156.86361179793983,,0.0,,0.3107748348799689,1,0.8148964104355065,0.6961552850643217,C1,,,,0.2201748402110867,1.6941932500798151,-1.4740184098687283,0.8898588381821833,0.8617928925344455,0.02806594564773779
CXR,0.9441666666666667,-0.5921666666666666,,,,,,0.0458275197687375,1,0.5069301003606107,-0.9974220016168687,C1,,,,0.594453878161085,1.1614754978335144,-0.5670216196724295,0.8168812489933622,0.64452380797898,0.17235744101438222
CYM,0.5415,-0.8490000000000001,11.247943744606205,117.436583958714,0.9458224416666666,0.0,16.72,0.1867541196593594,1,0.8680916972986951,1.5654372199298063,C1,,,,1.2027194547178348,0.6832567485723358,0.519462706145499,0.45338542505481244,0.7157385567539801,-0.2623531316991677
CYP,0.5988333333333333,0.142,10.074907725936177,131.40445291810468,0.9419528805555556,0.029871762691827532,1.8416666666666666,0.0546055005316293,1,2.2041993591861426,-0.6977627225935854,C1,0.18924999999999992,-0.4804000000000001,0.6696500000000001,1.1233074686125286,1.1038139389150077,0.01949352969752094,0.9586811738541474,0.9434226776572365,0.015258496196910887
CZE,1.4893333333333334,0.49066666666666664,9.779996494871964,149.61896489426866,0.8980083027777778,0.39424868055442935,1.8416666666666666,0.0743577773367901,1,2.7260052358459945,-0.5831523104885676,C1,0.17525000000000013,0.17579999999999957,-0.0005499999999994398,1.2417211806918584,0.999244744911637,0.2424764357802215,0.8831577043539487,0.8801324988325759,0.0030252055213727536
DEU,1.5506666666666666,-1.8351666666666666,10.642439570049534,77.49724021964842,1.5506363555555556,0.09929483426395484,1.8416666666666666,0.1545775251876874,1,1.9619234406417612,-0.129100420976733,C1,0.22674999999999998,0.2705999999999996,-0.04384999999999964,1.1357580326667778,1.032372043315663,0.10338598935111487,0.9561437900572474,0.9572991079202143,-0.0011553178629669647
DJI,-0.5569999999999999,-0.7226666666666667,7.769803884514795,286.7376548291344,-0.8061428722222216,0.6633455871454716,17.63,0.4962612272095462,0,-1.1340277962120835,2.671055221319084,C0,,,,7.96712847345995,1.0286381617064,6.93849031175355,0.6274769845344331,0.8273896723843847,-0.19991268784995153
DMA,0.1465,-0.04016666666666666,9.034418993591425,,0.628828661111111,0.05403037220302678,9.456,0.3900914689428554,1,0.31980605883089475,1.4541844517788378,C1,,,,0.6082721631189586,1.0973553716791251,-0.4890832085601665,0.9047884842174252,0.8700909416995565,0.03469754251786872
DNK,1.0561666666666667,1.523,10.880219099071908,103.66412936041384,1.7580534027777779,0.8359257366322507,1.8416666666666666,0.10899398512479501,1,3.4930387011139477,-0.15802836838247927,C1,1.7567500000000003,-0.18440000000000012,1.9411500000000004,1.193344741096254,1.081697476140697,0.1116472649555571,0.9362665677264461,0.9325776046390928,0.0036889630873533363
DOM,-0.17566666666666667,0.4766666666666666,8.794446536645603,54.302906694560384,-0.2793339416666665,0.8944519258919792,5.482,0.5466558043753814,1,-0.15693690564718676,1.656708980887014,C1,,,,1.1657089924315742,0.9402900312571557,0.2254189611744185,0.708218953020427,0.7346654184652968,-0.026446465444869727
DZA,-1.2048333333333334,-1.2328333333333334,8.44414794986064,54.93642683541433,-0.7884154277777773,19.36746421072557,8.7125,0.165597299089864,0,-2.33402126273687,-0.49879516517858447,C0,,,,1.0887174529127601,1.5047633705527101,-0.41604591763995,0.9086600589093426,0.9113707270667982,-0.0027106681574555758
ECU,-0.8568333333333333,-1.0766666666666667,8.683911133555867,53.97381014540278,-0.5607828222222219,8.728668861740847,5.93,0.4016817066314163,0,-1.5259526839010051,0.6957665214358699,C0,,,,1.4835418972185426,1.2235675125999212,0.2599743846186213,0.8887991034046829,0.8463117564643773,0.04248734694030565
EGY,-0.03883333333333333,1.6126666666666667,8.102033526943385,37.654936915250296,-0.8800146166666657,6.999437035937588,7.428333333333334,0.1775568380704391,1,-0.2762993928942411,-0.33422769916911765,C1,2.3482499999999993,-0.5466000000000002,2.8948499999999995,1.49330059711191,1.097453594715735,0.3958470023961751,0.9662234502521271,0.9621290883061842,0.004094361945942926
ERI,-1.3658333333333335,-1.0425,,,-1.5205409361111097,,,0.3098137118684742,0,-1.7248969104653304,0.07182904279919029,C0,,,,1.5686808832729064,1.0919822105119716,0.4766986727609348,0.6080722354719748,0.6496047690818308,-0.04153253360985609
ESP,0.8706666666666667,2.5646666666666667,10.154268977141243,63.09337244877978,0.8281381138888889,0.056555856433019726,1.8416666666666666,0.0918984819884136,1,2.9685417149335356,-0.5266243595891978,C1,0.4707499999999998,0.1509999999999998,0.31975,1.2074627589413385,1.0249469804513514,0.18251577848998712,0.9365778519395218,0.9411044443650608,-0.004526592425538989
EST,0.9568333333333333,1.2275,9.777517062400662,155.43344759173348,1.2047185833333331,1.6602626324391216,1.8416666666666666,0.069357119846344,1,2.9377251754813964,-0.5632143244892349,C1,0.15675000000000056,0.16099999999999995,-0.004249999999999393,1.3276486755294048,1.1005720970868345,0.22707657844257034,0.9285758878035278,0.9202519816240414,0.008323906179486418
ETH,-1.0751666666666666,-0.7341666666666667,6.353295660864473,38.87826168893275,-0.9129857194444434,12.604689395944675,11.05,0.36707126196302814,0,-2.9579278755063743,0.5135900691649248,C0,,,,1.3358541841934133,0.9340118083988003,0.401842375794613,0.9334165461158841,0.9388972839381857,-0.005480737822301629
