country_iso3_code,country_name,wb_region,eci_pre,exposure_pre,pre_trade_openness,z_eci_pre,z_exposure_pre,z_openness_pre
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",1.2186666666666666,0.3538341878330682,61.464924697131885,1.252209448515929,0.7615930885073696,-0.5473387061347048
ITA,Italy,Europe & Central Asia,1.227666666666667,0.1108389507600948,55.137339396552996,1.2613083749370702,-0.6752395526510737,-0.6588184547186268
JAM,Jamaica,Latin America & Caribbean,-0.399,0.4685734493590314,,-0.38323832636541433,1.440047193899608,
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",0.085,0.24141440323681343,102.17602530785376,0.10608171672704615,0.09685406742362815,0.16991172117171463
JPN,Japan,East Asia & Pacific,2.0656666666666665,0.3712361289227834,33.840330484836834,2.1085195239277343,0.864490895387882,-1.0340303382866691
KAZ,Kazakhstan,Europe & Central Asia,-0.24933333333333332,0.2455215448742337,62.38168163335385,-0.23192654995459144,0.1211396264230178,-0.5311872316135725
KEN,Kenya,Sub-Saharan Africa,-0.36466666666666653,0.2826681870689535,42.741047673114366,-0.3485276070551363,0.340787997550467,-0.8772170094683291
KGZ,Kyrgyzstan,Europe & Central Asia,-0.1543333333333333,0.5486423217107278,119.3719158508935,-0.13588232662032748,1.9134950306615983,0.4728698739822871
KHM,Cambodia,East Asia & Pacific,-0.3846666666666667,0.24186886878166688,122.0087164050495,-0.36874744354656047,0.09954132556495214,0.5193251723117089
KIR,Kiribati,East Asia & Pacific,-0.6883333333333335,0.14626740193057583,103.13637563095294,-0.675751960941348,-0.46575085780826864,0.18683122639937075
KNA,Saint Kitts and Nevis,Latin America & Caribbean,0.5830000000000001,0.5147241294976324,,0.6095556453635035,1.7129365082481478,
KOR,South Korea,East Asia & Pacific,1.7636666666666667,0.3651598584380333,83.51651564607089,1.8031999929072327,0.8285618628925877,-0.1588325544059708
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",-0.0403333333333333,0.23168638372289027,98.55863725958505,-0.02062925861921079,0.03933221580299937,0.10618037801390902
LAO,Laos,East Asia & Pacific,-1.063,0.2567226063340218,91.26284479295198,-1.0545368978806904,0.18737158600752682,-0.02235729809238035
