country_iso3_code,pre_export_intensity,pre_import_intensity,pre_total_trade_intensity,pre_log_total_trade_openness,pre_wdi_total_openness,pre_real_gdp_usd,pre_total_minus_wdi_openness,pre_wdi_compatible_export_intensity,pre_wdi_compatible_import_intensity,pre_wdi_compatible_sum,in_primary_sample
BLZ,18.936308802398354,45.741072471843374,64.67738127424172,4.181696343416841,99.42601727013634,2179422103.057162,-34.74863599589462,29.11004943191351,70.31596783822283,99.42601727013634,1
BMU,4.306888824089996,45.590008597588515,49.89689742167851,3.8960018323038064,72.81261211691567,6704966289.056861,-22.915714695237163,6.284876246491775,66.5277358704239,72.81261211691567,1
BOL,21.97127005910993,21.401811877918743,43.37308193702868,3.7886043379485965,56.63666401941763,34419418892.22456,-13.26358208238895,28.690131870830733,27.946532148586886,56.63666401941762,1
BRA,10.622934351080614,8.667086692363162,19.290021043443776,3.0084189680221463,25.269014129493637,1770539319936.0525,-5.9789930860498615,13.915540973729147,11.353473155764489,25.269014129493634,1
BRB,5.739376097435656,23.454293295778673,29.193669393214332,3.404200277223058,,5768655113.725318,,,,,0
BRN,40.356714390411675,28.25451647527454,68.61123086568621,4.232981622270159,87.464283337721,12772545801.055597,-18.85305247203479,51.445966753349055,36.018316584371945,87.464283337721,1
BTN,9.922439187131603,22.325925362539095,32.2483645496707,3.4928247261518544,80.93743833146972,2327949867.494182,-48.689073781799024,24.903489557408378,56.033948774061344,80.93743833146972,1
BVT,,,,,,,,,,,0
BWA,38.4387282427368,42.924280985697386,81.3630092284342,4.410759360659413,98.42984405279346,14379561828.253143,-17.066834824359262,46.50169729953956,51.92814675325389,98.42984405279344,1
CAF,6.105917358952311,16.80289342294005,22.90881078189236,3.1737047166668546,53.60644583686133,1776337707.8207521,-30.697635054968973,14.28780093839471,39.31864489846662,53.60644583686133,1
CAN,24.8077126507762,25.28317778657606,50.090890437352265,3.933225433614639,65.54321581299953,1583189684500.4714,-15.45232537564727,32.46053823160286,33.08267758139667,65.54321581299953,1
CCK,,,,,,,,,,,0
CHE,41.42755118282869,35.2587431234732,76.68629430630189,4.352669297863283,121.44207144491668,706909329524.7223,-44.75577713861479,65.60556454114102,55.836506903775664,121.44207144491668,1
CHL,24.215064880704816,23.568892185507753,47.783957066212565,3.8865974912061483,57.14437684429131,246400335852.1212,-9.360419778078743,28.95856429249966,28.185812551791653,57.144376844291315,1
CIV,22.519555935492264,18.358735466873156,40.87829140236542,3.7318285457308593,49.64709313129214,49218729861.746895,-8.768801728926718,27.350225570827856,22.296867560464285,49.64709313129214,1
CMR,10.957337759748006,17.07128177740969,28.0286195371577,3.3640760828096528,41.79259998667633,33581678765.67564,-13.76398044951863,16.338144420739834,25.454455565936495,41.79259998667633,1
COD,13.869150134617229,12.848687041790797,26.717837176408025,3.31879321110891,63.89357014336516,40855338594.357124,-37.175732966957135,33.16696299569871,30.726607147666453,63.89357014336517,1
COG,58.53939782013078,51.39851496189063,109.9379127820214,4.705363172535448,111.39921170031472,11503040633.631754,-1.4612989182933234,59.317505722558494,52.08170597775624,111.39921170031474,1
COK,,,,,,,,,,,0
COL,12.229561147828901,14.82958397541089,27.059145123239787,3.3319901732467123,36.615444015035365,298934208802.31354,-9.556298891795578,16.54859418127718,20.066849833758187,36.615444015035365,1
COM,6.007119545038537,40.25692195802541,46.26404150306394,3.854713687004628,38.367396902880664,1000108544.0796255,7.896644600183279,4.981785687968518,33.385611214912146,38.367396902880664,1
CPV,4.342716096444357,38.215047807742565,42.55776390418692,3.7691496703916343,96.47958692732387,1827478815.3447254,-53.921823023136945,9.84505332730537,86.6345336000185,96.47958692732387,1
CRI,20.253081155984077,23.52786518764159,43.780946343625665,3.801611168070267,62.66799795341066,58839037149.78302,-18.887051609784997,28.990237864473745,33.67776008893692,62.66799795341066,1
CUB,2.132743658851037,9.0804921858899,11.213235844740938,2.50007019024761,28.368454033394062,87959039496.6967,-17.155218188653123,5.3956450474110325,22.972808985983033,28.368454033394066,1
CUW,41.77980346438566,64.20868649200573,105.98848995639138,4.667953831200887,142.39308119729068,3024133454.3523383,-36.40459124089931,56.13019819000039,86.26288300729031,142.3930811972907,1
CXR,,,,,,,,,,,0
CYM,28.330585936352197,89.41639027362275,117.74697620997495,4.724302205196602,117.436583958714,4861451948.4837,0.31039225126095005,28.25590381175441,89.18068014695959,117.436583958714,1
CYP,11.254323919545946,33.66791970957288,44.92224362911882,3.824588663816814,141.43729349752536,30210212714.558594,-96.51504986840655,35.43414101189816,106.00315248562723,141.4372934975254,1
CZE,74.63978225378803,69.01124655840209,143.6510288121901,4.974055057523256,150.10541350561002,195706818826.63272,-6.454384693419911,77.99342247538986,72.11199103022017,150.10541350561004,1
DEU,36.49596394080107,27.72053777195178,64.21650171275284,4.177599805473393,77.0724704198475,3508495350382.2285,-12.85596870709466,43.80235650103324,33.27011391881427,77.0724704198475,1
DJI,4.242247760134336,172.99685128011262,177.23909904024694,5.183016113557592,262.46780708867266,2586775604.869,-85.22870804842572,6.282211277075228,256.1855958115974,262.46780708867266,1
DMA,11.047250516439282,47.219841024118494,58.26709154055777,4.059612242701372,,573926521.3643421,,,,,0
DNK,25.895675644974688,26.443730536376716,52.3394061813514,3.976466187593086,103.59960772766134,311109923540.3888,-51.260201546309936,51.25739924076574,52.34220848689559,103.59960772766134,1
DOM,12.803178871557336,21.70335321134172,34.50653208289905,3.5695106522091407,51.612438847365205,75139082624.38072,-17.105906764466155,19.150092654127246,32.46234619323797,51.61243884736521,1
DZA,15.728814958496073,23.75750400954276,39.48631896803883,3.6999120936894894,50.928790518064936,193342726434.62207,-11.442471550026106,20.286761163202915,30.642029354862025,50.92879051806494,1
ECU,17.974201231549497,17.693018742695653,35.66721997424514,3.5997123505025903,43.993418274909665,98685010084.49861,-8.326198300664522,22.170120169386394,21.82329810552328,43.99341827490967,1
EGY,7.240257491280485,19.32917733297376,26.569434824254245,3.3159853346461667,35.97487545654474,343700885461.31366,-9.405440632290492,9.803270684717749,26.171604771826992,35.97487545654474,1
ERI,,,,,,,,,,,0
