country_iso3_code,pre_established_destinations,pre_destination_entropy,pre_outside_us_china_share
PAN,143.33333333333334,3.5014391433764582,0.9254348435399322
PCN,16.333333333333332,1.897880891338285,0.9914051759171992
PER,178.66666666666666,3.34242043374787,0.609282432808573
PHL,196.0,2.8960030367806975,0.6570809896154555
PLW,17.333333333333332,1.0936136330899098,0.9582487907672079
PNG,66.0,2.0417294185609722,0.8009859958842203
POL,207.0,3.1349891292161214,0.9614015431018422
PRK,113.0,3.0284775750545165,0.16050036987591865
PRT,196.33333333333334,2.989474721696343,0.9239796636910985
PRY,136.33333333333334,2.7485018950985416,0.9807161328327244
PSE,62.666666666666664,0.7066628181395299,0.9928930571688003
PYF,53.666666666666664,1.843528738960087,0.8039929102222939
QAT,160.66666666666666,2.7292429036143893,0.9026034805108728
ROU,184.33333333333334,3.2423649343630383,0.9592858783934579
RUS,188.33333333333334,3.7715655016952483,0.8425653749419688
RWA,91.33333333333333,2.5884525213852307,0.8853633167050248
SAU,179.33333333333334,3.1698861420742266,0.7620456420816818
SDN,115.0,2.0082019113386456,0.8262810581325511
SEN,139.33333333333334,3.120146168723435,0.9326963456856584
SGP,212.33333333333334,3.223323209354566,0.8070044774290283
SGS,7.333333333333333,1.2601516092809266,1.0
SHN,34.666666666666664,2.325364096394648,0.5189834086457561
SLB,52.0,2.693151504751144,0.37388908445729574
SLE,108.0,2.744497431630162,0.6378375474411508
SLV,124.33333333333333,2.462526461776718,0.5289450404834136
SMR,76.0,3.253210121800197,0.9200209893645248
SOM,51.0,1.6552106672560216,0.9716124328652427
SPM,10.666666666666666,1.683271709606361,0.951484407712818
SRB,158.0,3.2667530475936037,0.9740098850008492
SSD,20.333333333333332,1.121412869225626,0.025127954769261995
STP,37.666666666666664,2.445994163545863,0.9520659685971362
SUR,107.0,1.983735834240304,0.930182897161914
SVK,185.0,2.9385136807036005,0.9421288700200008
SVN,188.33333333333334,3.1361425360492703,0.9664370976532533
SWE,212.33333333333334,3.410240644767883,0.8844491928699723
SWZ,130.33333333333334,1.9623810306064522,0.9897454312232561
SXM,22.333333333333332,0.9068039120983453,0.397659769189194
SYC,110.0,2.360882546431095,0.9900085794701771
SYR,101.0,2.7194346995681222,0.9897614444735594
TCA,50.666666666666664,2.236031060427585,0.7464665749780347
TCD,53.666666666666664,1.948739218052353,0.3870883523222323
TGO,100.33333333333333,2.9983294438373846,0.9397443773258004
THA,216.33333333333334,3.600016173462942,0.7544444778118454
TJK,63.666666666666664,2.3208758883928087,0.940690759289029
TKL,55.333333333333336,2.170230334110124,0.9274873303288175
TKM,76.33333333333333,2.3846702806134865,0.26504162787029306
TLS,32.0,1.0817424729344445,0.9352423761604096
TON,21.666666666666668,1.9595291278759082,0.7018901086517549
TTO,137.0,3.561709004048089,0.5923281998240421
TUN,172.0,2.6644597629074416,0.9604956828450198
TUR,208.0,3.8885581403573846,0.9349360638198189
TUV,17.666666666666668,0.7930740223086076,0.9822999937124874
TWN,206.66666666666666,3.112028136378198,0.5507800314016837
TZA,149.0,3.1176947136383397,0.9064978195353579
UGA,129.0,2.993087227319298,0.956128356523814
