excluded_country,estimate,se,p_cluster,n_obs,n_countries
CIV,0.02495107009375816,0.006423686845282261,0.0001443208189183438,1980,180
CMR,0.024812747987862906,0.006399160660113859,0.00014804961646111838,1980,180
COD,0.024779305957938626,0.006410919449547961,0.00015512032305605965,1980,180
COG,0.024839001455987556,0.006404680844220397,0.00014762552764681426,1980,180
COL,0.024804374307694527,0.0064013282173239336,0.00014952677195755415,1980,180
COM,0.024756478766942286,0.006487374567535796,0.00018656847239749985,1980,180
CPV,0.024946497009588325,0.006397130402689989,0.00013611422088300137,1980,180
CRI,0.024779301866390067,0.006396481018526381,0.00015008457063343667,1980,180
CUB,0.02451212274135177,0.006410312521511511,0.0001812245497441398,1980,180
CUW,0.024678664369934843,0.006374744001356515,0.00015155596295180935,1980,180
CYM,0.02534007203846964,0.006394194315251609,0.00010680890961607743,1980,180
CYP,0.024765102709389468,0.006416130348682826,0.00015828906477030453,1980,180
CZE,0.02491756446116557,0.006425554574642634,0.00014783379409891845,1980,180
DEU,0.02478932959725328,0.006396773506130403,0.00014929641873893753,1980,180
DJI,0.024669574564488022,0.011323728190072626,0.03067047357638589,1980,180
DNK,0.02479395519661477,0.006397361896651016,0.00014908926705200747,1980,180
DOM,0.0247682949821946,0.006434260871444838,0.0001646097240818691,1980,180
DZA,0.024915769808875096,0.006417479621969081,0.00014527847443934254,1980,180
ECU,0.024864083009136385,0.0064247216975772585,0.00015227716793237109,1980,180
EGY,0.02490317556280728,0.006409743583433764,0.00014378669040704715,1980,180
ESP,0.024789654894046997,0.0063972234108966575,0.00014942181323264917,1980,180
EST,0.024800646468774702,0.006397608307767696,0.00014858379769754914,1980,180
ETH,0.02489342366281399,0.006432244625513315,0.000152256887684086,1980,180
FIN,0.02479059688472669,0.006398036917690982,0.0001496174252749525,1980,180
FRA,0.024783365096084854,0.006397790594285818,0.0001501742951067334,1980,180
FRO,0.024978519670907858,0.006437720561124571,0.00014663968248079855,1980,180
FSM,0.025092054287442066,0.006440434071853882,0.0001380010242531835,1980,180
GAB,0.02476056822398271,0.006396151106109794,0.00015164295106328432,1980,180
GBR,0.024784647840692148,0.006395714909632948,0.00014934764698452084,1980,180
GEO,0.024802626748766037,0.00640203197966114,0.00014992302133764036,1980,180
GHA,0.024790574133178367,0.006396932605012426,0.00014924092367806259,1980,180
GIN,0.024891603403923393,0.006395598897636486,0.0001401308452750016,1980,180
GMB,0.025100763389261947,0.006412847468846117,0.0001287993415905187,1980,180
GNB,0.024708441503592343,0.007257803831794059,0.0008184188408337156,1980,180
GNQ,0.02484699027467529,0.006429692870806184,0.0001555657638991486,1980,180
GRC,0.024803665585927573,0.00639697558340442,0.00014810309268518238,1980,180
GRL,0.025052304316863873,0.006388430930348219,0.00012522360589265998,1980,180
GTM,0.02483490063897318,0.006412688137931465,0.0001507226039910546,1980,180
GUM,0.024794326348491637,0.006397153092008451,0.0001489851112096878,1980,180
HKG,0.027951597233767538,0.009530741004203919,0.003798705570122222,1980,180
HND,0.025260912560530306,0.006354948817946435,0.00010197388986026193,1980,180
HRV,0.02479009495156624,0.0063981786087382,0.00014971051319117616,1980,180
HTI,0.025484969895753044,0.006580164292120189,0.00015059505034307135,1980,180
HUN,0.0248505467565496,0.006412242553534184,0.00014918446139179842,1980,180
IDN,0.02481149668438939,0.006396666006339838,0.00014731287244789792,1980,180
IND,0.024804202280316375,0.006395621359256172,0.00014759615634516696,1980,180
IRL,0.024770766676502954,0.006392174128785851,0.0001493617996545071,1980,180
IRN,0.024768348471842033,0.006399195512154047,0.00015200250762203096,1980,180
IRQ,0.024741882856633823,0.006383860510434215,0.00014906677142321618,1980,180
ISL,0.02480836459838803,0.006399785762942673,0.00014864738549969338,1980,180
ISR,0.024798281819434494,0.006392243442516003,0.00014696920248599357,1980,180
ITA,0.02478925563743465,0.006399528133964746,0.00015024896173074437,1980,180
JOR,0.024760804464784243,0.006397911781457547,0.00015223417266384203,1980,180
JPN,0.024982098608328087,0.006447852828855353,0.00014975112301165002,1980,180
KAZ,0.024801524004604752,0.0063963188798965755,0.00014806759285993404,1980,180
KEN,0.02479950397121581,0.006396901908366365,0.00014844344445456067,1980,180
KGZ,0.024393421271097032,0.006441787629272234,0.00020817601022248596,1980,180
KHM,0.02477677505495279,0.006413703473318682,0.00015633991777754653,1980,180
KIR,0.0249122795932034,0.0064210582583725945,0.0001467773761182821,1980,180
KOR,0.024782889784030683,0.006383876800072571,0.0001454872579306062,1980,180
KWT,0.02478325819579305,0.006400034640512279,0.000150957966393412,1980,180
LAO,0.024821443525645852,0.006402661954685527,0.00014847778790620878,1980,180
LBN,0.024806855397341378,0.006399334710471315,0.0001486263335177082,1980,180
LBY,0.024817770766388123,0.0063989843096785735,0.000147550196479177,1980,180
LKA,0.02480754109716802,0.006397424641626769,0.00014791600615051087,1980,180
LSO,0.024213039958122573,0.006541289207910247,0.0002850845349186881,1980,180
LTU,0.02478759571074933,0.006401085066057214,0.00015093387776877413,1980,180
LUX,0.02520114654783176,0.006547802997896933,0.0001650101442968727,1980,180
LVA,0.024793899682263344,0.006401292087004407,0.0001504435810645026,1980,180
MAC,0.02488182378690382,0.006431576631636661,0.0001530663124183748,1980,180
MAR,0.02479346813548787,0.006396284627575609,0.00014876402774720591,1980,180
MDA,0.024835531566425095,0.0064004222487668225,0.00014648948841343676,1980,180
MDG,0.024796099755589468,0.006395862502321829,0.00014838847230794224,1980,180
MDV,0.026446734118355297,0.006315145397250601,4.4134948423736886e-05,1980,180
