country_iso3_code,year,indicator,value
OED,2014,NV.IND.MANF.ZS,13.7532132683646
OED,2013,NV.IND.MANF.ZS,13.7614770620873
OED,2012,NV.IND.MANF.ZS,14.0419061519156
OSS,2017,NV.IND.MANF.ZS,8.58972338682632
OSS,2016,NV.IND.MANF.ZS,8.77920504385744
OSS,2015,NV.IND.MANF.ZS,8.94667683237645
OSS,2014,NV.IND.MANF.ZS,9.12112115987185
OSS,2013,NV.IND.MANF.ZS,8.83446500145304
OSS,2012,NV.IND.MANF.ZS,9.1663477175978
PSS,2017,NV.IND.MANF.ZS,8.60709967331445
PSS,2016,NV.IND.MANF.ZS,8.52999390530754
PSS,2015,NV.IND.MANF.ZS,8.30450086803807
PSS,2014,NV.IND.MANF.ZS,8.88615309061847
PSS,2013,NV.IND.MANF.ZS,9.04168023167383
PSS,2012,NV.IND.MANF.ZS,8.94436458799607
PST,2017,NV.IND.MANF.ZS,13.4338733124239
PST,2016,NV.IND.MANF.ZS,13.4451379403442
PST,2015,NV.IND.MANF.ZS,13.5158138722289
PST,2014,NV.IND.MANF.ZS,13.4682849740902
PST,2013,NV.IND.MANF.ZS,13.5065609015762
PST,2012,NV.IND.MANF.ZS,13.805077520754
PRE,2017,NV.IND.MANF.ZS,8.2646675894298
PRE,2016,NV.IND.MANF.ZS,8.51277938843672
PRE,2015,NV.IND.MANF.ZS,8.73939933374441
PRE,2014,NV.IND.MANF.ZS,8.49056549674966
PRE,2013,NV.IND.MANF.ZS,8.16493767985281
PRE,2012,NV.IND.MANF.ZS,7.78704918482717
SST,2017,NV.IND.MANF.ZS,8.99203463764545
SST,2016,NV.IND.MANF.ZS,9.13912931237845
SST,2015,NV.IND.MANF.ZS,8.9490345732487
SST,2014,NV.IND.MANF.ZS,9.34954152116945
SST,2013,NV.IND.MANF.ZS,9.19331400752107
SST,2012,NV.IND.MANF.ZS,9.94584963980586
SAS,2017,NV.IND.MANF.ZS,15.3745900479891
SAS,2016,NV.IND.MANF.ZS,15.5807747717997
SAS,2015,NV.IND.MANF.ZS,15.5680899662719
SAS,2014,NV.IND.MANF.ZS,15.1347852048418
SAS,2013,NV.IND.MANF.ZS,15.3126276093693
SAS,2012,NV.IND.MANF.ZS,15.8256183437642
TSA,2017,NV.IND.MANF.ZS,15.3745900479891
TSA,2016,NV.IND.MANF.ZS,15.5807747717997
TSA,2015,NV.IND.MANF.ZS,15.5680899662719
TSA,2014,NV.IND.MANF.ZS,15.1347852048418
TSA,2013,NV.IND.MANF.ZS,15.3126276093693
TSA,2012,NV.IND.MANF.ZS,15.8256183437642
SSF,2017,NV.IND.MANF.ZS,10.3463187442025
SSF,2016,NV.IND.MANF.ZS,10.279440552609
SSF,2015,NV.IND.MANF.ZS,10.2437197592267
SSF,2014,NV.IND.MANF.ZS,10.2069009386513
SSF,2013,NV.IND.MANF.ZS,10.0579524765781
SSF,2012,NV.IND.MANF.ZS,9.72576308665126
SSA,2017,NV.IND.MANF.ZS,10.3509769491413
SSA,2016,NV.IND.MANF.ZS,10.2836138262871
SSA,2015,NV.IND.MANF.ZS,10.2474501282955
SSA,2014,NV.IND.MANF.ZS,10.2090398509875
SSA,2013,NV.IND.MANF.ZS,10.0600078792869
SSA,2012,NV.IND.MANF.ZS,9.72672470279321
TSS,2017,NV.IND.MANF.ZS,10.3463187442025
TSS,2016,NV.IND.MANF.ZS,10.279440552609
TSS,2015,NV.IND.MANF.ZS,10.2437197592267
TSS,2014,NV.IND.MANF.ZS,10.2069009386513
TSS,2013,NV.IND.MANF.ZS,10.0579524765781
TSS,2012,NV.IND.MANF.ZS,9.72576308665126
WLD,2017,NV.IND.MANF.ZS,16.2514915858743
WLD,2016,NV.IND.MANF.ZS,16.2042384591368
WLD,2015,NV.IND.MANF.ZS,16.3769271539914
WLD,2014,NV.IND.MANF.ZS,16.0753032239983
WLD,2013,NV.IND.MANF.ZS,15.925858241262
WLD,2012,NV.IND.MANF.ZS,16.0726179892082
AFG,2017,NV.IND.MANF.ZS,3.53042246146676
AFG,2016,NV.IND.MANF.ZS,4.1141966128347
AFG,2015,NV.IND.MANF.ZS,11.4200060049012
AFG,2014,NV.IND.MANF.ZS,11.477587555803
AFG,2013,NV.IND.MANF.ZS,11.4998672561905
AFG,2012,NV.IND.MANF.ZS,12.4860851363953
ALB,2017,NV.IND.MANF.ZS,6.51640113307682
ALB,2016,NV.IND.MANF.ZS,6.30340554104145
ALB,2015,NV.IND.MANF.ZS,6.2759154301457
ALB,2014,NV.IND.MANF.ZS,5.90710171744016
ALB,2013,NV.IND.MANF.ZS,5.74765422818215
ALB,2012,NV.IND.MANF.ZS,5.37937812993245
DZA,2017,NV.IND.MANF.ZS,7.33456829401543
DZA,2016,NV.IND.MANF.ZS,6.89853876611083
DZA,2015,NV.IND.MANF.ZS,7.11001759889613
DZA,2014,NV.IND.MANF.ZS,9.87797970942307
DZA,2013,NV.IND.MANF.ZS,8.02018645677549
DZA,2012,NV.IND.MANF.ZS,8.5589556099004
AND,2017,NV.IND.MANF.ZS,3.74883272584872
AND,2016,NV.IND.MANF.ZS,3.74112485956452
AND,2015,NV.IND.MANF.ZS,3.70608985448457
AND,2014,NV.IND.MANF.ZS,3.67687366253974
AND,2013,NV.IND.MANF.ZS,3.83815615460753
AND,2012,NV.IND.MANF.ZS,3.72383504240788
AGO,2017,NV.IND.MANF.ZS,5.72896944472047
AGO,2016,NV.IND.MANF.ZS,5.78278899499157
AGO,2015,NV.IND.MANF.ZS,5.24051559648007
AGO,2014,NV.IND.MANF.ZS,4.72618092401216
AGO,2013,NV.IND.MANF.ZS,4.77964373360143
AGO,2012,NV.IND.MANF.ZS,4.36191802502351
ATG,2017,NV.IND.MANF.ZS,2.95986351713637
ATG,2016,NV.IND.MANF.ZS,2.87573378949907
ATG,2015,NV.IND.MANF.ZS,2.80170359243638
ATG,2014,NV.IND.MANF.ZS,2.76963661615415
ATG,2013,NV.IND.MANF.ZS,2.73356730113668
