mode,dv,stratifier,group,coef,pvalue,n,pooled_coef,reversal,sig_reversal
controlled_yearfe,H1_DV1_Stability,gpr_time_q4,gprQ1,-0.18619968685512717,0.3168390583428687,411,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,post_group,post,-0.2795270210013214,0.18871148915402733,225,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,exposed_group,exposed,-0.22428451504920244,0.19606576211971946,180,-0.26387755072227276,0,0
controlled_yearfe,H2_DV2_ExportRecovery,_pooled,ALL,-0.1145195526599526,0.004515047137094463,1729,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,size_q4,size_q4_1,-0.7197585003728696,0.01730392819107975,210,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,size_q4,size_q4_2,-0.169747560915264,0.0690397973882964,437,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,size_q4,size_q4_3,-0.16918758712125853,0.004169920212038361,533,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,size_q4,size_q4_4,-0.06723896071407225,0.05434843678061465,549,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,income_q4,income_q4_4,0.0724957079317024,0.530396668400888,425,-0.1145195526599526,1,0
controlled_yearfe,H2_DV2_ExportRecovery,income_q4,income_q4_1,-0.23542932617855986,0.03949254814055293,448,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,income_q4,income_q4_2,0.12199129483818667,0.4123881313201581,442,-0.1145195526599526,1,0
controlled_yearfe,H2_DV2_ExportRecovery,income_q4,income_q4_3,-0.017615371458782482,0.9068736496068867,414,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,eci_t3,eci_t3_2,0.14662616491664981,0.6521260431268537,559,-0.1145195526599526,1,0
controlled_yearfe,H2_DV2_ExportRecovery,eci_t3,eci_t3_3,0.13879882655438147,0.3946898248280386,556,-0.1145195526599526,1,0
controlled_yearfe,H2_DV2_ExportRecovery,eci_t3,eci_t3_1,-0.3326765735968276,0.004128635757220245,614,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,coi_q4,coi_q4_2,-0.5296802425299507,0.000762176571883932,344,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,coi_q4,coi_q4_3,-0.06861030735466903,0.635184527884302,408,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,coi_q4,coi_q4_1,-0.34477439503658724,0.042679354251990285,444,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,coi_q4,coi_q4_4,-0.010138482706861596,0.7842367447352514,533,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,wgi_q4,wgi_q4_4,0.027802593720155366,0.6954086887099067,456,-0.1145195526599526,1,0
controlled_yearfe,H2_DV2_ExportRecovery,wgi_q4,wgi_q4_1,0.4646579805407531,0.011914895947270557,407,-0.1145195526599526,1,1
controlled_yearfe,H2_DV2_ExportRecovery,wgi_q4,wgi_q4_2,-0.008608936802316454,0.8630098445207969,457,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,wgi_q4,wgi_q4_3,-0.43770992582635176,0.00043458755747660037,409,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,open_q4,open_q4_4,-0.38472036178294433,0.0054550197753353855,419,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,open_q4,open_q4_1,-0.013479864340781883,0.8377034866514662,444,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,open_q4,open_q4_3,-0.3128778889410648,0.00016343563202207259,428,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,open_q4,open_q4_2,-0.08353356026125337,0.127652258981755,438,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,rents_q4,rents_q4_1,-0.3325982790238529,0.009102858540893946,359,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,rents_q4,rents_q4_2,0.09105363902289623,0.4707496754062481,470,-0.1145195526599526,1,0
controlled_yearfe,H2_DV2_ExportRecovery,rents_q4,rents_q4_4,-0.02594180750808306,0.8249822429290586,436,-0.1145195526599526,0,0
