outcome_key,regime,excluded_country,estimate,p_cluster
gvc,R2,CIV,-0.09282579900755454,0.7452179109688468
gvc,R2,CMR,-0.09282579900756127,0.745217910968829
gvc,R2,COD,-0.09282579900755272,0.7452179109688521
gvc,R2,COG,-0.09282579900756482,0.7451278305326954
gvc,R2,COL,-0.09282579900755816,0.7452179109688376
gvc,R2,COM,-0.09282579900756482,0.7451278305326954
gvc,R2,CPV,-0.09282579900756482,0.7451278305326954
gvc,R2,CRI,-0.08202708249734386,0.7871778197514855
gvc,R2,CUB,-0.09282579900756482,0.7451278305326954
gvc,R2,CUW,-0.09282579900756482,0.7451278305326954
gvc,R2,CYM,-0.09282579900756482,0.7451278305326954
gvc,R2,CYP,-0.11541682214317239,0.6960928544342136
gvc,R2,CZE,-0.0888950271595188,0.7633760168168303
gvc,R2,DEU,-0.08815321259647019,0.7583521104302988
gvc,R2,DJI,-0.09282579900756482,0.7451278305326954
gvc,R2,DMA,-0.09282579900756482,0.7451278305326954
gvc,R2,DNK,-0.09333138335121671,0.7436374893630757
gvc,R2,DOM,-0.09282579900756482,0.7451278305326954
gvc,R2,DZA,-0.09282579900756482,0.7451278305326954
gvc,R2,ECU,-0.09282579900756482,0.7451278305326954
gvc,R2,EGY,-0.09282579900756222,0.7452179109688265
gvc,R2,ESP,-0.0980706676586594,0.732634843742916
gvc,R2,EST,-0.09310823630914966,0.7445608733343384
gvc,R2,ETH,-0.09282579900756482,0.7451278305326954
gvc,R2,FIN,-0.05134005800250785,0.8577235263813398
gvc,R2,FJI,-0.09282579900756482,0.7451278305326954
gvc,R2,FRA,-0.09182347665625495,0.7477348129445448
gvc,R2,FRO,-0.09282579900756482,0.7451278305326954
gvc,R2,FSM,-0.09282579900756482,0.7451278305326954
gvc,R2,GAB,-0.09282579900756482,0.7451278305326954
gvc,R2,GBR,-0.09317392814359798,0.7437186172073389
gvc,R2,GEO,-0.09282579900756482,0.7451278305326954
gvc,R2,GHA,-0.09282579900756482,0.7451278305326954
gvc,R2,GIN,-0.09282579900756482,0.7451278305326954
gvc,R2,GMB,-0.09282579900756482,0.7451278305326954
gvc,R2,GNB,-0.09282579900756482,0.7451278305326954
gvc,R2,GNQ,-0.09282579900756482,0.7451278305326954
gvc,R2,GRC,-0.07350189738233964,0.8131760321901532
gvc,R2,GRD,-0.09282579900756482,0.7451278305326954
gvc,R2,GRL,-0.09282579900756482,0.7451278305326954
gvc,R2,GTM,-0.09282579900756482,0.7451278305326954
gvc,R2,GUM,-0.09282579900756482,0.7451278305326954
gvc,R2,GUY,-0.09282579900756482,0.7451278305326954
gvc,R2,HKG,-0.08406779729011948,0.7859174188000376
gvc,R2,HND,-0.09282579900756482,0.7451278305326954
gvc,R2,HRV,-0.094399150705333,0.7426265112314393
gvc,R2,HTI,-0.09282579900756482,0.7451278305326954
gvc,R2,HUN,-0.08706163772710912,0.7626768546197245
gvc,R2,IDN,-0.09282579900756116,0.7452179109688298
gvc,R2,IND,-0.09282579900756455,0.7452179109688205
gvc,R2,IRL,-0.09322490295166269,0.7456946976098681
gvc,R2,IRN,-0.09282579900756482,0.7451278305326954
gvc,R2,IRQ,-0.09282579900756482,0.7451278305326954
gvc,R2,ISL,0.006956764463345089,0.9806187963911546
gvc,R2,ISR,-0.10455629793401328,0.7217717358929802
gvc,R2,ITA,-0.0887881653962247,0.7560768473155615
gvc,R2,JAM,-0.09282579900756482,0.7451278305326954
gvc,R2,JOR,-0.0928257990075631,0.7452179109688244
gvc,R2,JPN,0.07956218049821412,0.7866849219599277
gvc,R2,KAZ,-0.09282579900756527,0.7452179109688196
gvc,R2,KEN,-0.09282579900756482,0.7451278305326954
gvc,R2,KGZ,-0.09282579900756482,0.7451278305326954
gvc,R2,KHM,-0.09282579900756,0.745217910968833
gvc,R2,KIR,-0.09282579900756482,0.7451278305326954
gvc,R2,KNA,-0.09282579900756482,0.7451278305326954
gvc,R2,KOR,-0.29116974342586555,0.16114809896087917
gvc,R2,KWT,-0.09282579900756482,0.7451278305326954
gvc,R2,LAO,-0.0928257990075666,0.7452179109688158
gvc,R2,LBN,-0.09282579900756482,0.7451278305326954
gvc,R2,LBR,-0.09282579900756482,0.7451278305326954
gvc,R2,LBY,-0.09282579900756482,0.7451278305326954
gvc,R2,LCA,-0.09282579900756482,0.7451278305326954
gvc,R2,LKA,-0.09282579900756482,0.7451278305326954
gvc,R2,LSO,-0.09282579900756482,0.7451278305326954
gvc,R2,LTU,-0.09810556920048075,0.7327258415300371
gvc,R2,LUX,-0.13556975918075503,0.6297940219840146
gvc,R2,LVA,-0.09809318644689191,0.7340115428274865
gvc,R2,MAC,-0.09282579900756482,0.7451278305326954
gvc,R2,MAR,-0.09282579900756094,0.745217910968831
gvc,R2,MDA,-0.09282579900756482,0.7451278305326954
gvc,R2,MDG,-0.09282579900756482,0.7451278305326954
gvc,R2,MDV,-0.09282579900756482,0.7451278305326954
gvc,R2,MEX,-0.09282579900756704,0.7452179109688151
gvc,R2,MHL,-0.09282579900756482,0.7451278305326954
gvc,R2,MKD,-0.09282579900756482,0.7451278305326954
gvc,R2,MLI,-0.09282579900756482,0.7451278305326954
gvc,R2,MLT,-0.09188327721273543,0.7477938847714184
gvc,R2,MMR,-0.092825799007559,0.7452179109688363
gvc,R2,MNE,-0.09282579900756482,0.7451278305326954
gvc,R2,MNG,-0.09282579900756482,0.7451278305326954
gvc,R2,MNP,-0.09282579900756482,0.7451278305326954
gvc,R2,MOZ,-0.09282579900756482,0.7451278305326954
gvc,R2,MRT,-0.09282579900756482,0.7451278305326954
gvc,R2,MUS,-0.09282579900756482,0.7451278305326954
gvc,R2,MWI,-0.09282579900756482,0.7451278305326954
gvc,R2,MYS,-0.09282579900755222,0.745217910968854
gvc,R2,NAM,-0.09282579900756482,0.7451278305326954
gvc,R2,NER,-0.09282579900756482,0.7451278305326954
gvc,R2,NGA,-0.09282579900756649,0.7452179109688156
gvc,R2,NIC,-0.09282579900756482,0.7451278305326954
gvc,R2,NLD,-0.09284396285920182,0.7451438372412614
gvc,R2,NOR,-0.09306609183812786,0.7444931700854949
gvc,R2,NPL,-0.09282579900756482,0.7451278305326954
gvc,R2,NRU,-0.09282579900756482,0.7451278305326954
