sample,country_iso3_code,primary_structural_profile,alternative_structural_profile,reassigned_vs_primary
broad_legacy,NIC,R1,R1,False
broad_legacy,NIU,,R1,False
broad_legacy,NLD,R2,R2,False
broad_legacy,NOR,R2,R2,False
broad_legacy,NPL,R1,R1,False
broad_legacy,NRU,R2,R2,False
broad_legacy,NZL,R2,R2,False
broad_legacy,OMN,R1,R1,False
broad_legacy,PAK,R1,R1,False
broad_legacy,PAN,R2,R2,False
broad_legacy,PCN,,R2,False
broad_legacy,PER,R1,R1,False
broad_legacy,PHL,R1,R1,False
broad_legacy,PLW,R2,R2,False
broad_legacy,PNG,R1,R1,False
broad_legacy,POL,R2,R2,False
broad_legacy,PRK,,R1,False
broad_legacy,PRT,R2,R2,False
broad_legacy,PRY,R1,R1,False
broad_legacy,PSE,R1,R1,False
broad_legacy,PYF,R2,R2,False
broad_legacy,QAT,R2,R2,False
broad_legacy,ROU,R1,R1,False
broad_legacy,RUS,R1,R1,False
broad_legacy,RWA,R1,R1,False
broad_legacy,SAU,R1,R1,False
broad_legacy,SDN,R1,R1,False
broad_legacy,SEN,R1,R1,False
broad_legacy,SGP,R2,R2,False
broad_legacy,SGS,,R1,False
broad_legacy,SHN,,R1,False
broad_legacy,SLB,R1,R1,False
broad_legacy,SLE,R1,R1,False
broad_legacy,SLV,R1,R1,False
broad_legacy,SMR,R2,R2,False
broad_legacy,SOM,R1,R1,False
broad_legacy,SPM,,R1,False
broad_legacy,SRB,R1,R1,False
broad_legacy,SSD,R1,R1,False
broad_legacy,STP,R1,R2,True
broad_legacy,SUR,R2,R1,True
broad_legacy,SVK,R2,R2,False
broad_legacy,SVN,R2,R2,False
broad_legacy,SWE,R2,R2,False
broad_legacy,SWZ,R1,R1,False
broad_legacy,SXM,R2,R2,False
broad_legacy,SYC,R2,R2,False
broad_legacy,SYR,R1,R1,False
broad_legacy,TCA,R2,R2,False
broad_legacy,TCD,R1,R1,False
broad_legacy,TGO,R1,R1,False
broad_legacy,THA,R1,R1,False
broad_legacy,TJK,R1,R1,False
broad_legacy,TKL,,R1,False
broad_legacy,TKM,R1,R1,False
broad_legacy,TLS,R1,R1,False
broad_legacy,TON,R2,R2,False
broad_legacy,TTO,R2,R2,False
broad_legacy,TUN,R1,R1,False
broad_legacy,TUR,R1,R1,False
broad_legacy,TUV,R2,R2,False
broad_legacy,TWN,,R2,False
broad_legacy,TZA,R1,R1,False
broad_legacy,UGA,R1,R1,False
broad_legacy,UKR,R1,R1,False
broad_legacy,URY,R2,R2,False
broad_legacy,UZB,R1,R1,False
broad_legacy,VAT,,R2,False
broad_legacy,VCT,R2,R2,False
broad_legacy,VEN,R1,R1,False
broad_legacy,VGB,,R1,False
broad_legacy,VNM,R1,R1,False
broad_legacy,VUT,R2,R2,False
broad_legacy,WSM,R2,R2,False
broad_legacy,YEM,R1,R1,False
broad_legacy,ZAF,,R1,False
broad_legacy,ZMB,R1,R1,False
broad_legacy,ZWE,R1,R1,False
