country_iso3_code,consensus_cluster_numeric,assignment_probability,pre_log_real_gdp_pc,wb_region,exposure_tercile,cluster_imputed_fields,structural_profile,structural_regime,sample,selected_k
QAT,0,1.0,11.176048174575547,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R2,R2,cleaned_primary,2
ROU,1,1.0,9.094158104212319,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
RUS,1,1.0,9.150606054280543,Europe & Central Asia,middle,0,R1,R1,cleaned_primary,2
RWA,1,1.0,6.566397250863083,Sub-Saharan Africa,low,0,R1,R1,cleaned_primary,2
SAU,1,1.0,10.051688154747257,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R1,R1,cleaned_primary,2
SDN,1,1.0,7.161111714141296,Sub-Saharan Africa,middle,1,R1,R1,cleaned_primary,2
SEN,1,1.0,7.098566150391226,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
SGP,0,1.0,10.919432038188502,East Asia & Pacific,middle,0,R2,R2,cleaned_primary,2
SLB,1,1.0,7.644262875455841,East Asia & Pacific,high,0,R1,R1,cleaned_primary,2
SLE,1,1.0,6.93619808476308,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
SLV,1,1.0,8.233498821524693,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
SMR,0,1.0,10.66481431449868,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
SOM,1,1.0,6.0644653807131865,Sub-Saharan Africa,middle,1,R1,R1,cleaned_primary,2
SRB,1,1.0,8.679299953464417,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
SSD,1,1.0,7.026945862941712,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
STP,0,1.0,7.170303366268212,Sub-Saharan Africa,low,1,R2,R2,cleaned_primary,2
SUR,1,1.0,9.087361575282175,Latin America & Caribbean,middle,1,R1,R1,cleaned_primary,2
SVK,0,1.0,9.683731063417705,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
SVN,0,1.0,9.937175869157983,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
SWE,0,1.0,10.826049873210005,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
SWZ,1,1.0,8.133292035991886,Sub-Saharan Africa,low,0,R1,R1,cleaned_primary,2
SXM,0,1.0,10.535477252114754,Latin America & Caribbean,high,2,R2,R2,cleaned_primary,2
SYC,0,1.0,9.641964823698455,Sub-Saharan Africa,low,0,R2,R2,cleaned_primary,2
SYR,1,1.0,6.779738976258835,"Middle East, North Africa, Afghanistan & Pakistan",middle,1,R1,R1,cleaned_primary,2
TCA,0,1.0,10.344652622136897,Latin America & Caribbean,high,2,R2,R2,cleaned_primary,2
TCD,1,1.0,6.875045696643434,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
TGO,1,1.0,6.600250875913992,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
THA,1,1.0,8.644069982102083,East Asia & Pacific,middle,0,R1,R1,cleaned_primary,2
TJK,1,1.0,6.847428894777813,Europe & Central Asia,high,0,R1,R1,cleaned_primary,2
TKM,1,1.0,8.620027639798938,Europe & Central Asia,high,1,R1,R1,cleaned_primary,2
TLS,1,1.0,7.167951994246782,East Asia & Pacific,middle,0,R1,R1,cleaned_primary,2
TON,0,1.0,8.335937313227541,East Asia & Pacific,middle,0,R2,R2,cleaned_primary,2
TTO,1,1.0,9.849967777989464,Latin America & Caribbean,high,1,R1,R1,cleaned_primary,2
TUN,1,1.0,8.292385330850015,"Middle East, North Africa, Afghanistan & Pakistan",low,0,R1,R1,cleaned_primary,2
TUR,1,1.0,9.284840641488662,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
TUV,0,1.0,8.086280957856376,East Asia & Pacific,middle,2,R2,R2,cleaned_primary,2
TZA,1,1.0,6.829989758226124,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
UGA,1,1.0,6.746378750762649,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
UKR,1,1.0,7.727132302594295,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
URY,0,1.0,9.738541198078343,Latin America & Caribbean,high,0,R2,R2,cleaned_primary,2
UZB,1,1.0,7.90436122005168,Europe & Central Asia,middle,0,R1,R1,cleaned_primary,2
VCT,0,1.0,8.895019177442084,Latin America & Caribbean,middle,1,R2,R2,cleaned_primary,2
VEN,1,1.0,8.28202243257093,Latin America & Caribbean,high,1,R1,R1,cleaned_primary,2
VNM,1,1.0,7.829785645137189,East Asia & Pacific,high,0,R1,R1,cleaned_primary,2
VUT,0,1.0,7.95767004761221,East Asia & Pacific,low,0,R2,R2,cleaned_primary,2
WSM,0,1.0,8.326002184776387,East Asia & Pacific,middle,0,R2,R2,cleaned_primary,2
YEM,1,1.0,7.347818363374338,"Middle East, North Africa, Afghanistan & Pakistan",high,1,R1,R1,cleaned_primary,2
ZAF,1,1.0,8.720960447685385,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
ZMB,1,1.0,7.163188901115266,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
ZWE,1,1.0,7.231860642760185,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
