test_id,variant,outcome_key,outcome,event_year,term,estimate,se,p_cluster,ci_low_95,ci_high_95,n_obs,n_countries
corrected_event_full_sample_diversification_2020,full_sample,diversification,Partner diversification excluding US and China,2020,event_eci_exposure_2020,-0.009261808089118442,0.015371035983507723,0.5474945071069296,-0.03957282308872569,0.0210492069104888,2200,200
corrected_event_full_sample_diversification_2021,full_sample,diversification,Partner diversification excluding US and China,2021,event_eci_exposure_2021,-0.017396516629109043,0.017004660562921808,0.3075290578504351,-0.05092896830894241,0.016135935050724325,2200,200
corrected_event_full_sample_diversification_2022,full_sample,diversification,Partner diversification excluding US and China,2022,event_eci_exposure_2022,-0.0221925462274985,0.01549311593634597,0.15359449502091463,-0.05274429758902707,0.00835920513403007,2200,200
corrected_event_pooled_regime_interacted_diversification_2012,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2012,event_eci_exposure_2012,-0.003112358053390503,0.012341476696887007,0.801156919787679,-0.027449213791547352,0.021224497684766346,2200,200
corrected_event_pooled_regime_interacted_diversification_2013,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2013,event_eci_exposure_2013,-0.008781229235393428,0.008280369747226554,0.29020824295367786,-0.02510975854726107,0.007547300076474212,2200,200
corrected_event_pooled_regime_interacted_diversification_2014,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2014,event_eci_exposure_2014,-0.004169743255293177,0.005056222522431397,0.410543193717395,-0.014140394347594879,0.005800907837008524,2200,200
corrected_event_pooled_regime_interacted_diversification_2015,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2015,event_eci_exposure_2015,-0.01872669551073057,0.006587611914427582,0.004939536089091889,-0.03171717993637686,-0.005736211085084278,2200,200
corrected_event_pooled_regime_interacted_diversification_2016,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2016,event_eci_exposure_2016,-0.025709616230077063,0.017739044045496102,0.148821255011241,-0.0606902402243632,0.00927100776420908,2200,200
corrected_event_pooled_regime_interacted_diversification_2018,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2018,event_eci_exposure_2018,-0.026669565229515885,0.014598250281457885,0.06921262795792078,-0.05545668040666177,0.002117549947629995,2200,200
corrected_event_pooled_regime_interacted_diversification_2019,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2019,event_eci_exposure_2019,-0.018463629596200685,0.012446723434082256,0.1395467970928031,-0.04300802732653085,0.006080768134129479,2200,200
corrected_event_pooled_regime_interacted_diversification_2020,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2020,event_eci_exposure_2020,-0.024845746480413093,0.015963074727491058,0.12118975739331463,-0.05632423615566886,0.006632743194842673,2200,200
corrected_event_pooled_regime_interacted_diversification_2021,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2021,event_eci_exposure_2021,-0.03313840193896744,0.019884609927594044,0.0971800233698551,-0.0723499886155799,0.006073184737645017,2200,200
corrected_event_pooled_regime_interacted_diversification_2022,pooled_regime_interacted,diversification,Partner diversification excluding US and China,2022,event_eci_exposure_2022,-0.04712099747609749,0.016131500982341743,0.003891397685061759,-0.07893161640682989,-0.0153103785453651,2200,200
corrected_event_regime_R1_diversification_2012,regime_R1,diversification,Partner diversification excluding US and China,2012,event_eci_exposure_2012,-0.0025782194261646067,0.01189607645445579,0.8288404290785538,-0.02616594151829318,0.021009502665963967,1166,106
corrected_event_regime_R1_diversification_2013,regime_R1,diversification,Partner diversification excluding US and China,2013,event_eci_exposure_2013,-0.01128652805275085,0.008005489083505651,0.16153960331552442,-0.027159934081725373,0.0045868779762236744,1166,106
corrected_event_regime_R1_diversification_2014,regime_R1,diversification,Partner diversification excluding US and China,2014,event_eci_exposure_2014,-0.005584510848380901,0.004645452539196374,0.23201120782690154,-0.014795585096789458,0.003626563400027656,1166,106
corrected_event_regime_R1_diversification_2015,regime_R1,diversification,Partner diversification excluding US and China,2015,event_eci_exposure_2015,-0.021331840420050263,0.00680799345522346,0.0022403655645229564,-0.03483083382696406,-0.007832847013136468,1166,106
corrected_event_regime_R1_diversification_2016,regime_R1,diversification,Partner diversification excluding US and China,2016,event_eci_exposure_2016,-0.027791254916229927,0.01777581687312068,0.12096036851660469,-0.06303741611643733,0.007454906283977478,1166,106
corrected_event_regime_R1_diversification_2018,regime_R1,diversification,Partner diversification excluding US and China,2018,event_eci_exposure_2018,-0.027071733250600763,0.014513433895886309,0.06493295797523507,-0.0558491916545789,0.0017057251533773715,1166,106
corrected_event_regime_R1_diversification_2019,regime_R1,diversification,Partner diversification excluding US and China,2019,event_eci_exposure_2019,-0.016595513889481668,0.01188419488895393,0.1655283618014107,-0.04015967703205656,0.006968649253093224,1166,106
corrected_event_regime_R1_diversification_2020,regime_R1,diversification,Partner diversification excluding US and China,2020,event_eci_exposure_2020,-0.02600403767733113,0.015956527896257146,0.1061655705685941,-0.057642884906766556,0.005634809552104297,1166,106
corrected_event_regime_R1_diversification_2021,regime_R1,diversification,Partner diversification excluding US and China,2021,event_eci_exposure_2021,-0.031060107549409643,0.019015078817251476,0.10537031713611111,-0.06876349626067253,0.00664328116185325,1166,106
corrected_event_regime_R1_diversification_2022,regime_R1,diversification,Partner diversification excluding US and China,2022,event_eci_exposure_2022,-0.04547232951439621,0.015883930345406635,0.00507031736608543,-0.07696722921116514,-0.013977429817627292,1166,106
corrected_event_regime_R2_diversification_2012,regime_R2,diversification,Partner diversification excluding US and China,2012,event_eci_exposure_2012,0.01870132164462501,0.022925034280098698,0.41672195573407234,-0.02682325302273517,0.06422589631198519,1034,94
corrected_event_regime_R2_diversification_2013,regime_R2,diversification,Partner diversification excluding US and China,2013,event_eci_exposure_2013,-0.008069204256873408,0.023466926068914682,0.7317320500753739,-0.054669868621643476,0.03853146010789666,1034,94
corrected_event_regime_R2_diversification_2014,regime_R2,diversification,Partner diversification excluding US and China,2014,event_eci_exposure_2014,0.001393759008217435,0.018226482498850862,0.9392103252123871,-0.034800423007143,0.03758794102357787,1034,94
corrected_event_regime_R2_diversification_2015,regime_R2,diversification,Partner diversification excluding US and China,2015,event_eci_exposure_2015,-0.014589080756270929,0.021513495973369018,0.49936915873572724,-0.05731062009310868,0.02813245858056682,1034,94
corrected_event_regime_R2_diversification_2016,regime_R2,diversification,Partner diversification excluding US and China,2016,event_eci_exposure_2016,-0.02721903959715224,0.014142557935310466,0.057333697675860114,-0.055303356804582676,0.0008652776102781971,1034,94
corrected_event_regime_R2_diversification_2018,regime_R2,diversification,Partner diversification excluding US and China,2018,event_eci_exposure_2018,0.016092613548024916,0.020299896749891806,0.4299449165863198,-0.024218958248943108,0.05640418534499294,1034,94
corrected_event_regime_R2_diversification_2019,regime_R2,diversification,Partner diversification excluding US and China,2019,event_eci_exposure_2019,0.022278092237721727,0.02185993376169526,0.3107856238485025,-0.02113140388773223,0.06568758836317569,1034,94
corrected_event_regime_R2_diversification_2020,regime_R2,diversification,Partner diversification excluding US and China,2020,event_eci_exposure_2020,0.012745249598601157,0.020150828318216435,0.5286170637543675,-0.027270301836284226,0.052760801033486536,1034,94
corrected_event_regime_R2_diversification_2021,regime_R2,diversification,Partner diversification excluding US and China,2021,event_eci_exposure_2021,0.023167860095104603,0.036491592326637345,0.527064167201327,-0.04929721015549994,0.09563293034570915,1034,94
corrected_event_regime_R2_diversification_2022,regime_R2,diversification,Partner diversification excluding US and China,2022,event_eci_exposure_2022,0.03339085232821294,0.03769800263982942,0.3780390046512932,-0.04146990971117394,0.10825161436759982,1034,94
