outcome_key,outcome,excluded_country,regime,estimate,se,p_cluster,n_obs,n_countries
gvc,Adverse forward-GVC deviation stability,GIB,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GIB,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GIN,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GIN,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GMB,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GMB,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GNB,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GNB,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GNQ,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GNQ,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GRC,R1,0.3877419734441261,0.2676043841178308,0.15146874476364597,847,77
gvc,Adverse forward-GVC deviation stability,GRC,R2,-0.12223324985951312,0.33667721635289394,0.7175696281621476,847,77
gvc,Adverse forward-GVC deviation stability,GRD,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GRD,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GRL,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GRL,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GTM,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GTM,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GUM,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GUM,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,GUY,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,GUY,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,HKG,R1,0.38774197344413364,0.26760438411783266,0.15146874476364097,847,77
gvc,Adverse forward-GVC deviation stability,HKG,R2,-0.12717338392715083,0.3281935855912299,0.6994728524575571,847,77
gvc,Adverse forward-GVC deviation stability,HMD,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,HMD,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,HND,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,HND,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,HRV,R1,0.38774197344412825,0.2676043841178311,0.15146874476364422,847,77
gvc,Adverse forward-GVC deviation stability,HRV,R2,-0.13894144040979045,0.30608463970349087,0.6511718338727591,847,77
gvc,Adverse forward-GVC deviation stability,HTI,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,HTI,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,HUN,R1,0.3877419734441195,0.2676043841178277,0.15146874476364824,847,77
gvc,Adverse forward-GVC deviation stability,HUN,R2,-0.13003800823304396,0.3061398937430448,0.672206964818722,847,77
gvc,Adverse forward-GVC deviation stability,IDN,R1,0.38772714607670294,0.26749827335330095,0.15132414136518413,847,77
gvc,Adverse forward-GVC deviation stability,IDN,R2,-0.1359912568863158,0.30348045714804267,0.6553519184051738,847,77
gvc,Adverse forward-GVC deviation stability,IND,R1,0.38830205535210577,0.2675389506048844,0.15078810582066518,847,77
