DATAFLOW,MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MULT
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,PHL,_T,W,PT_EXGR,A,2013,78.886,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,NGA,_T,W,PT_EXGR,A,2013,95.781,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,MMR,_T,W,PT_EXGR,A,2013,92.291,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,MAR,_T,W,PT_EXGR,A,2013,74.009,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,MYS,_T,W,PT_EXGR,A,2013,62.378,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,LAO,_T,W,PT_EXGR,A,2013,87.257,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,KAZ,_T,W,PT_EXGR,A,2013,91.389,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,JOR,_T,W,PT_EXGR,A,2013,67.056,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,IDN,_T,W,PT_EXGR,A,2013,86.491,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,IND,_T,W,PT_EXGR,A,2013,74.221,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EGY,_T,W,PT_EXGR,A,2013,90.071,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,COD,_T,W,PT_EXGR,A,2013,85.854,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CIV,_T,W,PT_EXGR,A,2013,88.571,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CHN,_T,W,PT_EXGR,A,2013,80.97,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CMR,_T,W,PT_EXGR,A,2013,84.862,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BGR,_T,W,PT_EXGR,A,2013,62.861,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BRA,_T,W,PT_EXGR,A,2013,89.212,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BLR,_T,W,PT_EXGR,A,2013,66.594,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BGD,_T,W,PT_EXGR,A,2013,83.722,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ARG,_T,W,PT_EXGR,A,2013,88.836,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,AGO,_T,W,PT_EXGR,A,2013,88.47,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,OECD,_T,W,PT_EXGR,A,2013,90.754,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EU28XEU15,_T,W,PT_EXGR,A,2013,68.683,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EU27_2020,_T,W,PT_EXGR,A,2013,83.535,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EU28,_T,W,PT_EXGR,A,2013,85.826,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EU15,_T,W,PT_EXGR,A,2013,84.548,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,AUS,_T,W,PT_EXGR,A,2014,88.479,0
