country_iso3_code,us_export_value_pre_baci_thousand_usd,china_import_value_pre_baci_thousand_usd,us_export_share_list1_pre,us_export_competition_share_list1_pre,china_import_share_list1_pre,us_export_share_list2_pre,us_export_competition_share_list2_pre,china_import_share_list2_pre,us_export_share_list3_pre,us_export_competition_share_list3_pre,china_import_share_list3_pre,us_export_share_list4a_pre,us_export_competition_share_list4a_pre,china_import_share_list4a_pre,us_tariffed_export_share_pre,us_china_competition_tariffed_share_pre,china_tariffed_import_share_pre
DMA,4315.018999999999,112787.37000000013,0.0825600072676389,0.0113399684496418,0.2336090202298358,0.013682442649731,0.0029684092603386,0.0334038731464347,0.511375268567763,0.0576263576425697,0.3444705289253572,0.3864082637874827,0.0541613404952506,0.2882419281520612,0.9940259822726156,0.1260960758478009,0.899725350453689
DNK,23780960.20000004,20204133.833999947,0.1917585561999299,0.0328159161319997,0.1733919866490232,0.0139971958323196,0.0017095275183397,0.02186550666461,0.1779109007970162,0.0347840831360817,0.3317519978372173,0.0736033572353397,0.0089308607636985,0.343350478075239,0.4572700100646056,0.0782403875501198,0.8703599692260896
DOM,14801220.774000011,7470756.488999985,0.2596507310904324,0.0204755426944844,0.1160172222553621,0.0083132644177664,0.001421319052394,0.0341446489891072,0.2661263302631957,0.0222310905678064,0.3959970161463538,0.4141332372237469,0.1183100567291554,0.3148787240574183,0.9482235629951415,0.1624380090438404,0.8610376114482415
DZA,10312588.524,25974671.89899996,0.0007306712550843,0.0001212885269255,0.2259396575949029,4.626646344800871e-05,7.198278175449953e-06,0.0509859969800422,0.267774988944182,0.0024125634240211,0.3337536882355684,9.931580200416418e-05,2.0090263188107964e-05,0.2534379535032144,0.2686512424647185,0.0025611404923102,0.864117296313728
ECU,19343658.479999885,10919015.620000012,0.0114036548581579,0.0011997920753814,0.2190729579705466,0.0003241436466882,6.029974036189876e-05,0.0427694394121582,0.8759438985401314,0.0127346081166433,0.3683694834754705,0.0975025940904646,0.0010186747214263,0.23360022311242,0.9851742911354424,0.015013374653813,0.8638121039705955
EGY,5133263.329000005,32536273.41299999,0.0069290554020592,0.0010638213962781,0.1548397965879857,0.0043807787675643,0.0003078031207859,0.0377267043591277,0.3502103936191808,0.0488481057851716,0.4497830924654319,0.6101083251090695,0.1532130363874724,0.2428736156317961,0.971628552897874,0.2034327666897081,0.8852232090443415
ERI,807.107,246527.0740000003,0.4617318397684569,0.0482037063634416,0.4157347521189491,0.0189565943548996,0.0058194137181708,0.1283194842932341,0.3554237542234177,0.0757958384425142,0.3390187602680908,0.1638878116532256,0.0109481147544564,0.0758066677901671,1.0,0.1407670732785831,0.9588796644704414
ESP,43733348.0930002,82989693.57499981,0.2477957354866802,0.0259821376306389,0.0995207192991497,0.0401255948268198,0.0028526197714271,0.0145295423932405,0.3154710386147689,0.0538609522688282,0.3584674747848659,0.1680479969741053,0.0216055297194882,0.3230253087845557,0.7714403659023743,0.1043012393903826,0.795543045261812
EST,2869929.362999996,4075999.0960000097,0.1344812332233002,0.0278810594061467,0.1401666515482465,0.0070944627636119,0.0020819076050925,0.0246302019788278,0.4395095800133113,0.1686930415307063,0.3142677181300329,0.0985764551028081,0.0426016627224246,0.3373988218862931,0.6796617311030316,0.2412576712643702,0.8164633935434004
ETH,783649.5790000007,16133602.982000023,0.0374615807711675,0.0013081751162904,0.3014733999855158,0.003382921488177,0.0002846430231426,0.0819454803415589,0.1361326680429442,0.0245317331845776,0.2948334819139282,0.8221130378480043,0.1272391486978729,0.2620946702802653,0.9990902081502931,0.1533637000218836,0.9403470325212684
