dv,dropped_country,coef_z_eci_pe,pvalue_z_eci_pe,delta_vs_full
DV3_Partner_Diversification,IRN,0.0005404313218546077,0.9653190258720036,-3.5313528966393615e-05
DV3_Partner_Diversification,IRQ,0.0003261027352512006,0.9789929116440785,-0.0002496421155698007
DV3_Partner_Diversification,ISL,0.0005765017020632169,0.9629953448647186,7.56851242215582e-07
DV3_Partner_Diversification,ISR,-6.830610756482745e-05,0.9957363089865259,-0.0006440509583858288
DV3_Partner_Diversification,ITA,0.0005718739859073177,0.9632940650281399,-3.870864913683644e-06
DV3_Partner_Diversification,JOR,0.000568062621108627,0.9635351011948774,-7.682229712374297e-06
DV3_Partner_Diversification,JPN,0.0005525396128775021,0.9673847417528461,-2.3205237943499206e-05
DV3_Partner_Diversification,KAZ,0.0005749788189630903,0.9630912783693295,-7.660318579109753e-07
DV3_Partner_Diversification,KEN,0.0006112269133024823,0.960770646900021,3.548206248148102e-05
DV3_Partner_Diversification,KGZ,0.000860155241245217,0.9447375323094112,0.00028441039042421566
DV3_Partner_Diversification,KHM,0.0005794669808769554,0.9628347290352463,3.7221300559541273e-06
DV3_Partner_Diversification,KIR,0.0007482100465101844,0.9522369358761974,0.00017246519568918308
DV3_Partner_Diversification,KOR,0.0008082322218129422,0.9516100642098616,0.00023248737099194092
DV3_Partner_Diversification,KWT,0.0005681810110746907,0.9635307805478921,-7.56383974631061e-06
DV3_Partner_Diversification,LAO,0.0005515245450332038,0.9645782219926669,-2.422030578779757e-05
DV3_Partner_Diversification,LBN,0.0005752895326299372,0.9630575003295583,-4.553181910641087e-07
DV3_Partner_Diversification,LBY,0.000544427142714703,0.965127953695371,-3.1317708106298314e-05
DV3_Partner_Diversification,LKA,0.0005609729849179966,0.9639818821346481,-1.4771865903004692e-05
DV3_Partner_Diversification,LSO,0.0005902687394879968,0.9621010391259837,1.452388866699547e-05
DV3_Partner_Diversification,LTU,0.0005529138525764033,0.9645035514197485,-2.2830998244598036e-05
DV3_Partner_Diversification,LUX,0.0005504392433435623,0.9646555272192174,-2.5305607477439e-05
DV3_Partner_Diversification,LVA,0.0005510202034185675,0.9646250054800213,-2.4724647402433802e-05
DV3_Partner_Diversification,MAC,0.0031197481552670044,0.7974205849874295,0.002544003304446003
DV3_Partner_Diversification,MAR,0.0005515381323832251,0.9645912956474681,-2.4206718437776208e-05
DV3_Partner_Diversification,MDA,0.0005741966971125119,0.9631395686225703,-1.5481537084893835e-06
DV3_Partner_Diversification,MDG,0.0007138022395372493,0.9553672873385199,0.00013805738871624802
DV3_Partner_Diversification,MDV,0.0006201014730088183,0.9602315763307635,4.4356622187816954e-05
DV3_Partner_Diversification,MEX,0.0007100783621834406,0.9551057240833722,0.0001343335113624393
DV3_Partner_Diversification,MHL,0.0007181026339469756,0.9541246676513016,0.0001423577831259743
DV3_Partner_Diversification,MKD,0.0005032480706174134,0.9676801856607967,-7.249678020358795e-05
DV3_Partner_Diversification,MLI,0.0007513814293361265,0.9519846978430334,0.0001756365785151252
DV3_Partner_Diversification,MLT,0.0005571544169012564,0.9642221315357902,-1.859043391974494e-05
DV3_Partner_Diversification,MNE,0.0005858408019744714,0.9624025178865547,1.0095951153470117e-05
DV3_Partner_Diversification,MNG,0.0014336127939696115,0.9105848339806276,0.0008578679431486102
DV3_Partner_Diversification,MOZ,0.0006351642815979818,0.9592786447262822,5.94194307769805e-05
DV3_Partner_Diversification,MRT,0.0008787973003110973,0.9458894268149698,0.000303052449490096
DV3_Partner_Diversification,MUS,0.0005831077763401406,0.9625726200691949,7.362925519139316e-06
DV3_Partner_Diversification,MWI,0.0005387682735263563,0.9654002479159757,-3.697657729464501e-05
DV3_Partner_Diversification,MYS,0.0008297289069456235,0.9479686658775934,0.00025398405612462216
DV3_Partner_Diversification,NAM,0.0005485356919582426,0.964778418895905,-2.7209158862758712e-05
DV3_Partner_Diversification,NER,0.000864811119806535,0.9447617714918165,0.00028906626898553365
DV3_Partner_Diversification,NIC,1.4433466465684983e-06,0.9999087975631229,-0.0005743015041744328
