dv,dropped_country,coef_z_eci_pe,pvalue_z_eci_pe,delta_vs_full
DV2_Export_Recovery,DEU,-0.10327536451512062,0.18237014229215764,-0.00018850210015201874
DV2_Export_Recovery,DJI,-0.143573698584478,0.02527363986639262,-0.04048683616950939
DV2_Export_Recovery,DNK,-0.1031349523052815,0.18293414264786412,-4.808989031289401e-05
DV2_Export_Recovery,DOM,-0.10152486576000846,0.1916737139187763,0.0015619966549601377
DV2_Export_Recovery,DZA,-0.10345850099676884,0.18091233426661846,-0.00037163858180024045
DV2_Export_Recovery,ECU,-0.10289709000480314,0.18763718764256265,0.00018977241016546187
DV2_Export_Recovery,EGY,-0.10312681579107486,0.18303315907089635,-3.99533761062526e-05
DV2_Export_Recovery,ESP,-0.10293169988713459,0.1838068544241236,0.00015516252783401296
DV2_Export_Recovery,EST,-0.10286201581532209,0.18386484587836804,0.00022484659964651377
DV2_Export_Recovery,ETH,-0.10664651124451596,0.16877947145498917,-0.00355964882954736
DV2_Export_Recovery,FIN,-0.10328437054559611,0.1823370968310689,-0.00019750813062750783
DV2_Export_Recovery,FRA,-0.10327703337546439,0.18224946006190335,-0.00019017096049578353
DV2_Export_Recovery,FSM,-0.08272568395867083,0.2821941446706262,0.02036117845629777
DV2_Export_Recovery,GAB,-0.10295078194203904,0.1832360993387614,0.00013608047292956726
DV2_Export_Recovery,GBR,-0.10325247445233923,0.18239492859802253,-0.0001656120373706299
DV2_Export_Recovery,GEO,-0.10303068582586618,0.18299512739395007,5.617658910242462e-05
DV2_Export_Recovery,GHA,-0.10792575780870842,0.1634198363334759,-0.004838895393739814
DV2_Export_Recovery,GIN,-0.06641546214309364,0.37596579820683396,0.03667140027187496
DV2_Export_Recovery,GMB,-0.09894215432240197,0.20914753309435685,0.004144708092566632
DV2_Export_Recovery,GNB,-0.10251645904723597,0.18459115957599304,0.0005704033677326331
DV2_Export_Recovery,GNQ,-0.10314528708023712,0.18193554053520944,-5.842466526852219e-05
DV2_Export_Recovery,GRC,-0.10316678477825446,0.18260293729970944,-7.992236328585589e-05
DV2_Export_Recovery,GRL,-0.10355936548461497,0.1804925798359589,-0.0004725030696463711
DV2_Export_Recovery,GTM,-0.10249600997479634,0.18606216258697894,0.0005908524401722626
DV2_Export_Recovery,GUM,-0.10258169602416736,0.1844953609300175,0.0005051663908012399
DV2_Export_Recovery,HKG,-0.11000087333440335,0.18324315543921932,-0.006914010919434749
DV2_Export_Recovery,HND,-0.1038959319019195,0.17857079440281476,-0.0008090694869508919
DV2_Export_Recovery,HRV,-0.10289784335678437,0.18377839021465658,0.0001890190581842338
DV2_Export_Recovery,HTI,-0.10259385371528354,0.18700529757757156,0.000493008699685063
DV2_Export_Recovery,HUN,-0.10342871350574351,0.18167065000757698,-0.0003418510907749056
DV2_Export_Recovery,IDN,-0.10289953569244012,0.18412472260818002,0.00018732672252848304
DV2_Export_Recovery,IND,-0.10284332053527769,0.18453568571378431,0.00024354187969091723
DV2_Export_Recovery,IRL,-0.10264387900000835,0.18383695707904868,0.0004429834149602546
DV2_Export_Recovery,IRN,-0.10439402574178196,0.1779722500305665,-0.0013071633268133542
DV2_Export_Recovery,IRQ,-0.10148774798924744,0.1866572395451338,0.0015991144257211654
DV2_Export_Recovery,ISL,-0.10302504921264634,0.18337190837129147,6.181320232226395e-05
DV2_Export_Recovery,ISR,-0.09779627664610782,0.2307460676439682,0.005290585768860781
DV2_Export_Recovery,ITA,-0.10313262680035416,0.18299557075613115,-4.576438538556049e-05
DV2_Export_Recovery,JOR,-0.10297650786200388,0.182690891201428,0.00011035455296472263
DV2_Export_Recovery,JPN,-0.10921742452769717,0.20706399768345907,-0.006130562112728569
DV2_Export_Recovery,KAZ,-0.10250125158975977,0.18514576829094676,0.0005856108252088321
DV2_Export_Recovery,KEN,-0.10327526200255918,0.18119760654847716,-0.00018839958759057918
DV2_Export_Recovery,KGZ,-0.10406338158362957,0.18005186095505465,-0.0009765191686609692
DV2_Export_Recovery,KHM,-0.10225319514819614,0.1852507195547991,0.0008336672667724615
DV2_Export_Recovery,KIR,-0.10260606367665838,0.18450465085102064,0.000480798738310223
DV2_Export_Recovery,KOR,-0.10056438466890462,0.24188697130506776,0.0025224777460639836
DV2_Export_Recovery,KWT,-0.10296501358260308,0.18285782189091804,0.00012184883236551758
DV2_Export_Recovery,LAO,-0.10294829768835105,0.18321668377259237,0.0001385647266175516
DV2_Export_Recovery,LBN,-0.1026805198531681,0.1838845146133411,0.000406342561800499
DV2_Export_Recovery,LBY,-0.10423421104502158,0.1760687964541131,-0.0011473486300529745
DV2_Export_Recovery,LKA,-0.10304690030566219,0.1828828012944711,3.996210930641564e-05
DV2_Export_Recovery,LSO,-0.1027651446668848,0.1844092322097598,0.0003217177480838024
DV2_Export_Recovery,LTU,-0.10285012896265988,0.18388820011370266,0.00023673345230872112
DV2_Export_Recovery,LUX,-0.10273440987118614,0.18402705194700564,0.0003524525437824666
DV2_Export_Recovery,LVA,-0.10301223824303692,0.1831451397405609,7.462417193168647e-05
