country_iso3_code,n_obs,flagged_obs,max_cooks,max_abs_dffits,max_leverage,flag_rate
TUN,10,0,7.227111357194704e-05,0.11958871680134828,0.11088260746425009,0.0
IRL,10,0,7.170956593919255e-05,0.11912271377843722,0.12100170484083334,0.0
CZE,10,0,7.159433374220375e-05,0.11902737729232993,0.10790184803880346,0.0
DNK,10,0,7.021422439162773e-05,0.11787443676873849,0.11021375065130523,0.0
CIV,10,0,6.975803348412824e-05,0.11749092013894831,0.11680828395387119,0.0
LTU,10,0,6.905170533587265e-05,0.11689444793372647,0.11055524938728269,0.0
EST,10,0,6.767481862627079e-05,0.11572310647194337,0.10886176935052076,0.0
IDN,10,0,6.620652147554644e-05,0.11446071318147573,0.11093775964549485,0.0
SVK,10,0,6.354203914695392e-05,0.11213373104689132,0.10699561899524869,0.0
MDG,10,0,6.023516484470117e-05,0.10917669036699623,0.11513613227697897,0.0
ISL,10,0,5.80075112071447e-05,0.10713871063144835,0.10852715227061532,0.0
BIH,10,0,5.659945040532804e-05,0.10583028563020698,0.11040848916516768,0.0
THA,10,0,5.248032930145464e-05,0.10190633907860326,0.11182161778334149,0.0
NOR,10,0,5.1904433263173e-05,0.10134563832440888,0.11001749666416157,0.0
USA,10,0,4.829072557637133e-05,0.09775370381993874,0.11385654637103665,0.0
CHE,10,0,4.7756686642861433e-05,0.09721172919666769,0.11070577804091104,0.0
KOR,10,0,4.498841528755596e-05,0.0943520668581832,0.1300328274569688,0.0
BEL,10,0,4.2860348851811465e-05,0.0920934009974054,0.11029279587773469,0.0
GEO,10,0,4.2566796930510134e-05,0.09177751679740692,0.10909018925653752,0.0
PAK,10,0,4.04063125454116e-05,0.08941791799169549,0.11041691335142126,0.0
FRA,10,0,3.935734233263941e-05,0.08824959106666631,0.11041254012409829,0.0
ESP,10,0,3.915944696232843e-05,0.08802745050093086,0.11046159061610393,0.0
BGR,10,0,3.769894783050684e-05,0.08637028878855008,0.10798118756995913,0.0
SWE,10,0,3.4510841137676885e-05,0.08263736335208728,0.11018283659961275,0.0
IND,10,0,2.986455080834068e-05,0.0768733153199205,0.11185839056282045,0.0
GBR,10,0,2.606390124892411e-05,0.07181520262546892,0.11077972824623267,0.0
DEU,10,0,2.251254181461039e-05,0.06674337619267036,0.11027862750062765,0.0
EGY,10,0,2.1805200717887473e-05,0.06568648097658271,0.11071833703854574,0.0
PRT,10,0,2.0809882570282753e-05,0.06416974827053877,0.11025546594197894,0.0
MYS,10,0,1.914535229553261e-05,0.06154978155929403,0.118729208326267,0.0
ITA,10,0,1.8749060570840047e-05,0.06090947982899528,0.11100035487254514,0.0
JPN,10,0,1.7499224839979174e-05,0.05884426832770335,0.13216585244045045,0.0
CHN,10,0,1.63368813198951e-05,0.05685635142956078,0.11442026232842882,0.0
HUN,10,0,1.556635718950005e-05,0.055499360334381895,0.11128189771747327,0.0
RUS,10,0,1.4833401630150765e-05,0.05417694753056762,0.11063990487159746,0.0
POL,10,0,1.4372097271279113e-05,0.053327860052980416,0.11556511087231056,0.0
FIN,10,0,1.359559771925647e-05,0.05186723539768791,0.11018321747774701,0.0
