country_iso3_code,eci_pre_raw,coi_pre_raw,baseline_log_gdp_pc,baseline_trade_open,baseline_wgi,baseline_rents,baseline_export_value,nexus_exposure_pre,z_eci_pre_raw,z_coi_pre_raw,z_baseline_log_gdp_pc,z_baseline_trade_open,z_baseline_wgi,z_baseline_rents,z_nexus_exposure_pre,exposed_top_tercile_pre,exposed_top_quartile_pre,exposure_tercile_threshold,exposure_quartile_threshold,us_export_market_dependence_pre,china_export_market_dependence_pre,china_import_dependence_pre,wb_income_id,wb_income_name,wb_region
CAF,-0.535,-0.7313333333333333,5.931577798825671,53.60644583686133,-1.4827673611111072,13.056158887533266,109055939.33333331,0.1410194892317575,-0.5305787866804974,-0.6113507491087532,-1.9841650316714738,-0.632318794809401,-1.6115507392187622,1.0701318628205059,-0.4945629845968417,0,0,0.26917599908681505,0.317817685580497,0.01832093725299151,0.21931969988428765,0.04848301967946587,LIC,Low income,Sub-Saharan Africa
CAN,0.9446666666666665,1.0959999999999999,10.688001254712212,65.54321581299953,1.6666628166666666,0.7721111591615334,392747217532.0,0.752416525870044,0.960370253548021,1.4693861354621778,1.3606812090132663,-0.41942769747091374,1.8634102196568068,-0.5505831151023863,3.1331565623374527,1,1,0.26917599908681505,0.317817685580497,0.7570971951273414,0.043031418490180516,0.09893582479966152,HIC,High income,North America
CCK,1.375333333333333,0.17633333333333334,,,,,5045413.0,0.17781661514518957,1.3943207288747266,0.42218564941124775,,,,,-0.27622752507099707,0,0,0.26917599908681505,0.317817685580497,0.3920007830475693,0.0,0.0,,,
CHE,1.8020000000000003,1.261,11.344037039231678,121.44207144491668,1.830885372222222,0.010332462927554234,292829125036.6667,0.1728906745432267,1.8242407044305964,1.6572673390124535,1.8220234019353219,0.5775227957725306,2.044607114621784,-0.651089574385953,-0.30545555520184986,0,0,0.26917599908681505,0.317817685580497,0.11979723660279755,0.10144760327318192,0.028835250969120773,HIC,High income,Europe & Central Asia
CHL,-0.09233333333333334,-0.568,9.508276428638743,57.14437684429131,1.014291961111111,4.18431078421109,59685288292.66666,0.4346450317535013,-0.084536812041283,-0.42536733549332884,0.5310666496428756,-0.5692201495322218,1.1436091363499308,-0.10038924071618442,1.2476618811666194,1,1,0.26917599908681505,0.317817685580497,0.13645401950927302,0.267104391850854,0.22735360908828484,HIC,High income,Latin America & Caribbean
CHN,1.2913333333333332,0.605,9.068958754035773,37.27506938170017,-0.3495426499999999,1.18049278043707,2206283491609.0,0.1478716119896092,1.309680233687165,0.9102972206549941,0.22212652141616848,-0.9235872586850878,-0.3611938789429397,-0.49670264956324545,-0.45390596767158947,0,0,0.26917599908681505,0.317817685580497,0.18288086623979505,0.0,0.0,UMC,Upper middle income,East Asia & Pacific
CIV,-1.0103333333333333,-0.8593333333333333,7.544950654698996,49.64709313129214,-0.6139447666666663,3.23063181052158,11047201468.0,0.1465065734782962,-1.0095365094482078,-0.7571010161053305,-0.8495973923852753,-0.702933453877451,-0.6529250750633191,-0.22621436212293733,-0.46200541302879333,0,0,0.26917599908681505,0.317817685580497,0.08515742792734639,0.009622691018729257,0.17756748036244963,LMC,Lower middle income,Sub-Saharan Africa
CMR,-0.8916666666666667,-1.087,7.2666786368768115,41.79259998667633,-0.9649252499999988,5.69551065748188,3668924057.6666665,0.2462662069861917,-0.8899650162467319,-1.0163391212060138,-1.0452858379857957,-0.8430175526694645,-1.0401835339160832,0.0989932693003079,0.12991759409186493,0,0,0.26917599908681505,0.317817685580497,0.03153632344025407,0.12005166956960733,0.2733246445567403,LMC,Lower middle income,Sub-Saharan Africa
COD,-1.6903333333333332,-1.2093333333333334,6.186896308265755,63.89357014336516,-1.5388765833333293,21.815723757985833,5676795831.0,0.3171640369798641,-1.6947214704903744,-1.1556369024240971,-1.8046181169784632,-0.4488489628157423,-1.6734595118058944,2.225838703069935,0.5505893152330855,1,0,0.26917599908681505,0.317817685580497,0.020934472674163512,0.37378303614360453,0.21227534473325468,LIC,Low income,Sub-Saharan Africa
COG,-1.2123333333333333,-1.1139999999999999,7.695479093972776,111.39921170031472,-1.0341291666666654,20.8973748810375,6725829586.0,0.2804519101736819,-1.2130767478754396,-1.0470833181506043,-0.7437417029390552,0.398409397783058,-1.1165404921730933,2.1046749130277327,0.33275819724696704,1,0,0.26917599908681505,0.317817685580497,0.02403182400491326,0.35218873732341677,0.13046974192718977,LMC,Lower middle income,Sub-Saharan Africa
COK,0.18166666666666667,-0.7606666666666667,,,,,29870492.0,0.094521430813586,0.1915524222610018,-0.6447518519621357,,,,,-0.7704588514554322,0,0,0.26917599908681505,0.317817685580497,0.05209712483096584,0.07155347836416333,0.0554861852810564,,,
COL,0.25366666666666665,-0.13066666666666668,8.74693050078816,36.615444015035365,-0.2442184611111109,3.5111955006866897,36550946934.333336,0.4401781817948429,0.26410141813605476,0.07261274341164403,-0.004332498109624664,-0.9353516110536341,-0.2449831920077012,-0.1891977544894709,1.2804927837687377,1,1,0.26917599908681505,0.317817685580497,0.31670657563216015,0.0699799551772088,0.16451816475683922,UMC,Upper middle income,Latin America & Caribbean
COM,-0.6406666666666667,-0.9973333333333333,7.206403539503863,38.367396902880664,-0.8540305722222215,2.445457962577833,60357260.66666666,0.1237119020444165,-0.6370511556267556,-0.9142380227110157,-1.087672924569792,-0.9041057067156681,-0.9178265823176937,-0.3298074972014233,-0.5972574181436835,0,0,0.26917599908681505,0.317817685580497,0.03760516819190185,0.0003484965914923939,0.1334571384560539,LMC,Lower middle income,Sub-Saharan Africa
CPV,0.019666666666666673,-0.7246666666666667,8.17830270061973,96.47958692732387,0.5352815055555555,10.670251405562746,79360196.66666667,0.0831373599865718,0.028317181542132697,-0.6037595893693483,-0.40420702092746386,0.1323193838052492,0.6150872965283376,0.7553434414895777,-0.8380061468919925,0,0,0.26917599908681505,0.317817685580497,0.03374732839619471,0.00038547685595926353,0.07678958242095708,UMC,Upper middle income,Sub-Saharan Africa
CRI,0.22666666666666666,-0.018666666666666668,9.399746730052465,62.66799795341066,0.6808432055555556,1.1670116237712267,11926742096.0,0.4707582453062759,0.23689554468290988,0.2001442270336493,0.4547456160583466,-0.47070692011143594,0.775694516264977,-0.49848130697415677,1.4619393520362076,1,1,0.26917599908681505,0.317817685580497,0.3415347647895753,0.04759656833093767,0.1046176846928117,HIC,High income,Latin America & Caribbean
CUB,-0.5763333333333333,-1.0493333333333332,8.963069693301259,28.368454033394062,-0.44918227777777603,0.6088596882619637,1878097941.6666667,0.223808466560771,-0.5722272843124722,-0.9734490686783751,0.14766245613427254,-1.0824358516346977,-0.4711324382822593,-0.5721219522923284,-0.0033352335129808383,0,0,0.26917599908681505,0.317817685580497,0.0,0.1442194116406651,0.21245494206989365,UMC,Upper middle income,Latin America & Caribbean
CUW,0.44133333333333336,-0.49966666666666665,9.851486371432406,142.39308119729068,,0.0,1264481658.0,0.3107748348799689,0.4531990323844566,-0.3475579481644268,0.772421208917506,0.951181956956706,,-0.6524528039822401,0.5126790344202325,1,0,0.26917599908681505,0.317817685580497,0.157856088945818,9.407743199854475e-05,0.04091264106918304,HIC,High income,Latin America & Caribbean
